CenterPos,HKU9,Eidolon_helvum,Alternate,Alternate_ID,Query
2441,0.49,0.93,-0.18,Pteropus_rufus,Rousettus_madagascariensis
2461,0.48,0.91,-0.14,Pteropus_rufus,Rousettus_madagascariensis
2481,0.39,0.92,-0.17,Pteropus_rufus,Rousettus_madagascariensis
2501,0.42,0.92,0.12,Pteropus_rufus,Rousettus_madagascariensis
2521,0.47,0.91,0.15,Pteropus_rufus,Rousettus_madagascariensis
2541,0.45,0.93,0.1,Pteropus_rufus,Rousettus_madagascariensis
2561,0.5,0.94,0.15,Pteropus_rufus,Rousettus_madagascariensis
2581,0.5,0.94,0.19,Pteropus_rufus,Rousettus_madagascariensis
2601,0.49,0.95,0.17,Pteropus_rufus,Rousettus_madagascariensis
2621,0.55,0.95,0.18,Pteropus_rufus,Rousettus_madagascariensis
2641,0.49,0.95,0.07,Pteropus_rufus,Rousettus_madagascariensis
2661,0.54,0.97,0.24,Pteropus_rufus,Rousettus_madagascariensis
2681,0.65,0.96,0.23,Pteropus_rufus,Rousettus_madagascariensis
2701,0.62,0.96,0.17,Pteropus_rufus,Rousettus_madagascariensis
2721,0.59,0.96,0.2,Pteropus_rufus,Rousettus_madagascariensis
2741,0.64,0.97,0.21,Pteropus_rufus,Rousettus_madagascariensis
2761,0.59,0.97,0.16,Pteropus_rufus,Rousettus_madagascariensis
2781,0.55,0.96,0.07,Pteropus_rufus,Rousettus_madagascariensis
2801,0.61,0.96,0.17,Pteropus_rufus,Rousettus_madagascariensis
2821,0.57,0.95,0.18,Pteropus_rufus,Rousettus_madagascariensis
2841,0.59,0.95,0.24,Pteropus_rufus,Rousettus_madagascariensis
2861,0.54,0.94,0.12,Pteropus_rufus,Rousettus_madagascariensis
2881,0.56,0.95,0.25,Pteropus_rufus,Rousettus_madagascariensis
2901,0.57,0.96,0.24,Pteropus_rufus,Rousettus_madagascariensis
2921,0.57,0.96,0.29,Pteropus_rufus,Rousettus_madagascariensis
2941,0.56,0.96,0.37,Pteropus_rufus,Rousettus_madagascariensis
2961,0.56,0.96,0.41,Pteropus_rufus,Rousettus_madagascariensis
2981,0.59,0.96,0.44,Pteropus_rufus,Rousettus_madagascariensis
3001,0.5,0.96,0.38,Pteropus_rufus,Rousettus_madagascariensis
3021,0.5,0.98,0.34,Pteropus_rufus,Rousettus_madagascariensis
3041,0.5,0.98,0.31,Pteropus_rufus,Rousettus_madagascariensis
3061,0.54,0.99,0.38,Pteropus_rufus,Rousettus_madagascariensis
3081,0.44,0.98,0.3,Pteropus_rufus,Rousettus_madagascariensis
3101,0.45,0.98,0.34,Pteropus_rufus,Rousettus_madagascariensis
3121,0.45,0.98,0.34,Pteropus_rufus,Rousettus_madagascariensis
3141,0.45,0.98,0.34,Pteropus_rufus,Rousettus_madagascariensis
3161,0.45,0.98,0.34,Pteropus_rufus,Rousettus_madagascariensis
3181,0.45,0.98,0.34,Pteropus_rufus,Rousettus_madagascariensis
3201,0.45,0.98,0.34,Pteropus_rufus,Rousettus_madagascariensis
3221,0.45,0.98,0.34,Pteropus_rufus,Rousettus_madagascariensis
3241,0.34,0.96,0.38,Pteropus_rufus,Rousettus_madagascariensis
3261,0.36,0.96,0.37,Pteropus_rufus,Rousettus_madagascariensis
3281,0.41,0.97,0.42,Pteropus_rufus,Rousettus_madagascariensis
3301,0.45,0.96,0.35,Pteropus_rufus,Rousettus_madagascariensis
3321,0.48,0.96,0.36,Pteropus_rufus,Rousettus_madagascariensis
3341,0.47,0.96,0.39,Pteropus_rufus,Rousettus_madagascariensis
3361,0.52,0.97,0.42,Pteropus_rufus,Rousettus_madagascariensis
3381,0.5,0.97,0.41,Pteropus_rufus,Rousettus_madagascariensis
3401,0.47,0.97,0.45,Pteropus_rufus,Rousettus_madagascariensis
3421,0.6,0.97,0.53,Pteropus_rufus,Rousettus_madagascariensis
3441,0.54,0.97,0.49,Pteropus_rufus,Rousettus_madagascariensis
3461,0.52,0.97,0.48,Pteropus_rufus,Rousettus_madagascariensis
3481,0.44,0.97,0.41,Pteropus_rufus,Rousettus_madagascariensis
3501,0.41,0.98,0.46,Pteropus_rufus,Rousettus_madagascariensis
3521,0.44,0.98,0.47,Pteropus_rufus,Rousettus_madagascariensis
3541,0.46,0.97,0.38,Pteropus_rufus,Rousettus_madagascariensis
3561,0.37,0.96,0.26,Pteropus_rufus,Rousettus_madagascariensis
3581,0.28,0.96,0.19,Pteropus_rufus,Rousettus_madagascariensis
3601,0.35,0.96,0.14,Pteropus_rufus,Rousettus_madagascariensis
3621,0.18,0.96,0.06,Pteropus_rufus,Rousettus_madagascariensis
3641,0.23,0.95,0.03,Pteropus_rufus,Rousettus_madagascariensis
3661,0.27,0.95,0.05,Pteropus_rufus,Rousettus_madagascariensis
3681,0.35,0.94,0.09,Pteropus_rufus,Rousettus_madagascariensis
3701,0.31,0.93,0.01,Pteropus_rufus,Rousettus_madagascariensis
3721,0.23,0.92,0.07,Pteropus_rufus,Rousettus_madagascariensis
3741,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3761,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3781,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3801,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3821,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3841,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3861,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3881,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3901,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3921,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3941,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3961,0.14,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
3981,0.33,0.92,-0.03,Pteropus_rufus,Rousettus_madagascariensis
4001,0.33,0.92,0.01,Pteropus_rufus,Rousettus_madagascariensis
4021,0.3,0.92,0,Pteropus_rufus,Rousettus_madagascariensis
4041,0.3,0.92,0,Pteropus_rufus,Rousettus_madagascariensis
4061,0.12,0.93,0.05,Pteropus_rufus,Rousettus_madagascariensis
4081,0.16,0.91,0.02,Pteropus_rufus,Rousettus_madagascariensis
4101,0.12,0.92,0.04,Pteropus_rufus,Rousettus_madagascariensis
4121,0.28,0.9,0.12,Pteropus_rufus,Rousettus_madagascariensis
4141,0.28,0.92,0.12,Pteropus_rufus,Rousettus_madagascariensis
4161,0.39,0.92,0.24,Pteropus_rufus,Rousettus_madagascariensis
4181,0.4,0.91,0.22,Pteropus_rufus,Rousettus_madagascariensis
4201,0.42,0.91,0.25,Pteropus_rufus,Rousettus_madagascariensis
4221,0.44,0.91,0.23,Pteropus_rufus,Rousettus_madagascariensis
4241,0.41,0.92,0.17,Pteropus_rufus,Rousettus_madagascariensis
4261,0.44,0.9,0.15,Pteropus_rufus,Rousettus_madagascariensis
4281,0.46,0.91,0.18,Pteropus_rufus,Rousettus_madagascariensis
4301,0.53,0.89,0.2,Pteropus_rufus,Rousettus_madagascariensis
4321,0.47,0.9,0.19,Pteropus_rufus,Rousettus_madagascariensis
4341,0.54,0.9,0.21,Pteropus_rufus,Rousettus_madagascariensis
4361,0.54,0.93,0.08,Pteropus_rufus,Rousettus_madagascariensis
4381,0.55,0.94,0.07,Pteropus_rufus,Rousettus_madagascariensis
4401,0.51,0.94,-0.03,Pteropus_rufus,Rousettus_madagascariensis
4421,0.46,0.95,-0.1,Pteropus_rufus,Rousettus_madagascariensis
4441,0.49,0.94,0.04,Pteropus_rufus,Rousettus_madagascariensis
4461,0.52,0.95,0.08,Pteropus_rufus,Rousettus_madagascariensis
4481,0.49,0.96,0.07,Pteropus_rufus,Rousettus_madagascariensis
4501,0.42,0.98,-0.04,Pteropus_rufus,Rousettus_madagascariensis
4521,0.41,0.97,0.04,Pteropus_rufus,Rousettus_madagascariensis
4541,0.44,0.97,0.05,Pteropus_rufus,Rousettus_madagascariensis
4561,0.43,0.96,0.1,Pteropus_rufus,Rousettus_madagascariensis
4581,0.38,0.97,0.12,Pteropus_rufus,Rousettus_madagascariensis
4601,0.47,0.97,0.19,Pteropus_rufus,Rousettus_madagascariensis
4621,0.5,0.97,0.2,Pteropus_rufus,Rousettus_madagascariensis
4641,0.44,0.98,0.13,Pteropus_rufus,Rousettus_madagascariensis
4661,0.44,0.97,0.09,Pteropus_rufus,Rousettus_madagascariensis
4681,0.43,0.96,0.05,Pteropus_rufus,Rousettus_madagascariensis
4701,0.53,0.96,0.16,Pteropus_rufus,Rousettus_madagascariensis
4721,0.46,0.96,0.06,Pteropus_rufus,Rousettus_madagascariensis
4741,0.39,0.96,0.06,Pteropus_rufus,Rousettus_madagascariensis
4761,0.32,0.97,0.04,Pteropus_rufus,Rousettus_madagascariensis
4781,0.32,0.96,-0.02,Pteropus_rufus,Rousettus_madagascariensis
4801,0.32,0.96,-0.06,Pteropus_rufus,Rousettus_madagascariensis
4821,0.36,0.96,0.02,Pteropus_rufus,Rousettus_madagascariensis
4841,0.47,0.95,0.08,Pteropus_rufus,Rousettus_madagascariensis
4861,0.46,0.95,0.17,Pteropus_rufus,Rousettus_madagascariensis
4881,0.46,0.95,0.17,Pteropus_rufus,Rousettus_madagascariensis
4901,0.42,0.95,0.06,Pteropus_rufus,Rousettus_madagascariensis
4921,0.48,0.95,0.03,Pteropus_rufus,Rousettus_madagascariensis
4941,0.49,0.96,0.06,Pteropus_rufus,Rousettus_madagascariensis
4961,0.48,0.95,0.15,Pteropus_rufus,Rousettus_madagascariensis
4981,0.52,0.95,0.28,Pteropus_rufus,Rousettus_madagascariensis
5001,0.49,0.95,0.29,Pteropus_rufus,Rousettus_madagascariensis
5021,0.47,0.95,0.28,Pteropus_rufus,Rousettus_madagascariensis
5041,0.47,0.95,0.3,Pteropus_rufus,Rousettus_madagascariensis
5061,0.45,0.96,0.19,Pteropus_rufus,Rousettus_madagascariensis
5081,0.43,0.96,0.22,Pteropus_rufus,Rousettus_madagascariensis
5101,0.45,0.95,0.31,Pteropus_rufus,Rousettus_madagascariensis
5121,0.5,0.96,0.28,Pteropus_rufus,Rousettus_madagascariensis
5141,0.49,0.96,0.24,Pteropus_rufus,Rousettus_madagascariensis
5161,0.5,0.96,0.1,Pteropus_rufus,Rousettus_madagascariensis
5181,0.5,0.95,-0.02,Pteropus_rufus,Rousettus_madagascariensis
5201,0.45,0.95,-0.04,Pteropus_rufus,Rousettus_madagascariensis
5221,0.48,0.96,0.12,Pteropus_rufus,Rousettus_madagascariensis
5241,0.42,0.96,0,Pteropus_rufus,Rousettus_madagascariensis
5261,0.45,0.96,0.02,Pteropus_rufus,Rousettus_madagascariensis
5281,0.49,0.97,0.02,Pteropus_rufus,Rousettus_madagascariensis
5301,0.53,0.97,-0.09,Pteropus_rufus,Rousettus_madagascariensis
5321,0.52,0.97,0.06,Pteropus_rufus,Rousettus_madagascariensis
5341,0.56,0.97,0.08,Pteropus_rufus,Rousettus_madagascariensis
5361,0.6,0.98,0.1,Pteropus_rufus,Rousettus_madagascariensis
5381,0.59,0.98,0.1,Pteropus_rufus,Rousettus_madagascariensis
5401,0.57,0.98,0.1,Pteropus_rufus,Rousettus_madagascariensis
5421,0.55,0.98,-0.07,Pteropus_rufus,Rousettus_madagascariensis
5441,0.6,0.97,0.05,Pteropus_rufus,Rousettus_madagascariensis
5461,0.58,0.98,0.07,Pteropus_rufus,Rousettus_madagascariensis
5481,0.58,0.98,0.09,Pteropus_rufus,Rousettus_madagascariensis
5501,0.52,0.97,0.15,Pteropus_rufus,Rousettus_madagascariensis
5521,0.58,0.97,0.19,Pteropus_rufus,Rousettus_madagascariensis
5541,0.59,0.97,0.17,Pteropus_rufus,Rousettus_madagascariensis
5561,0.57,0.97,0.27,Pteropus_rufus,Rousettus_madagascariensis
5581,0.51,0.97,0.32,Pteropus_rufus,Rousettus_madagascariensis
5601,0.54,0.97,0.28,Pteropus_rufus,Rousettus_madagascariensis
5621,0.5,0.97,0.28,Pteropus_rufus,Rousettus_madagascariensis
5641,0.51,0.97,0.27,Pteropus_rufus,Rousettus_madagascariensis
5661,0.48,0.97,0.3,Pteropus_rufus,Rousettus_madagascariensis
5681,0.51,0.97,0.34,Pteropus_rufus,Rousettus_madagascariensis
5701,0.5,0.97,0.33,Pteropus_rufus,Rousettus_madagascariensis
5721,0.45,0.97,0.35,Pteropus_rufus,Rousettus_madagascariensis
5741,0.39,0.96,0.36,Pteropus_rufus,Rousettus_madagascariensis
5761,0.33,0.96,0.3,Pteropus_rufus,Rousettus_madagascariensis
5781,0.35,0.96,0.22,Pteropus_rufus,Rousettus_madagascariensis
5801,0.41,0.97,0.33,Pteropus_rufus,Rousettus_madagascariensis
5821,0.39,0.96,0.27,Pteropus_rufus,Rousettus_madagascariensis
5841,0.35,0.96,0.24,Pteropus_rufus,Rousettus_madagascariensis
5861,0.41,0.96,0.22,Pteropus_rufus,Rousettus_madagascariensis
5881,0.36,0.96,0.05,Pteropus_rufus,Rousettus_madagascariensis
5901,0.38,0.96,-0.06,Pteropus_rufus,Rousettus_madagascariensis
5921,0.31,0.96,-0.07,Pteropus_rufus,Rousettus_madagascariensis
5941,0.34,0.97,-0.08,Pteropus_rufus,Rousettus_madagascariensis
5961,0.47,0.97,0.02,Pteropus_rufus,Rousettus_madagascariensis
5981,0.53,0.96,0.14,Pteropus_rufus,Rousettus_madagascariensis
6001,0.49,0.96,-0.06,Pteropus_rufus,Rousettus_madagascariensis
6021,0.54,0.96,-0.01,Pteropus_rufus,Rousettus_madagascariensis
6041,0.53,0.96,-0.06,Pteropus_rufus,Rousettus_madagascariensis
6061,0.46,0.95,-0.15,Pteropus_rufus,Rousettus_madagascariensis
6081,0.45,0.95,-0.14,Pteropus_rufus,Rousettus_madagascariensis
6101,0.49,0.96,-0.05,Pteropus_rufus,Rousettus_madagascariensis
6121,0.55,0.95,-0.11,Pteropus_rufus,Rousettus_madagascariensis
6141,0.55,0.95,-0.12,Pteropus_rufus,Rousettus_madagascariensis
6161,0.53,0.96,-0.09,Pteropus_rufus,Rousettus_madagascariensis
6181,0.5,0.97,-0.17,Pteropus_rufus,Rousettus_madagascariensis
6201,0.44,0.96,-0.17,Pteropus_rufus,Rousettus_madagascariensis
6221,0.43,0.96,-0.09,Pteropus_rufus,Rousettus_madagascariensis
6241,0.41,0.95,-0.07,Pteropus_rufus,Rousettus_madagascariensis
6261,0.51,0.96,0.11,Pteropus_rufus,Rousettus_madagascariensis
6281,0.46,0.97,0.18,Pteropus_rufus,Rousettus_madagascariensis
6301,0.36,0.97,0.18,Pteropus_rufus,Rousettus_madagascariensis
6321,0.27,0.98,0.11,Pteropus_rufus,Rousettus_madagascariensis
6341,0.23,0.98,0.05,Pteropus_rufus,Rousettus_madagascariensis
6361,0.06,0.97,-0.1,Pteropus_rufus,Rousettus_madagascariensis
6381,0.01,0.97,-0.13,Pteropus_rufus,Rousettus_madagascariensis
6401,0.11,0.98,-0.06,Pteropus_rufus,Rousettus_madagascariensis
6421,-0.18,0.97,-0.24,Pteropus_rufus,Rousettus_madagascariensis
6441,-0.01,0.98,-0.19,Pteropus_rufus,Rousettus_madagascariensis
6461,-0.15,0.97,-0.39,Pteropus_rufus,Rousettus_madagascariensis
6481,0.07,0.97,-0.44,Pteropus_rufus,Rousettus_madagascariensis
6501,-0.06,0.97,-0.51,Pteropus_rufus,Rousettus_madagascariensis
6521,0,0.97,-0.52,Pteropus_rufus,Rousettus_madagascariensis
6541,0.13,0.97,-0.3,Pteropus_rufus,Rousettus_madagascariensis
6561,0.29,0.98,-0.11,Pteropus_rufus,Rousettus_madagascariensis
6581,0.29,0.98,-0.13,Pteropus_rufus,Rousettus_madagascariensis
6601,0.31,0.98,-0.09,Pteropus_rufus,Rousettus_madagascariensis
6621,0.4,0.99,-0.04,Pteropus_rufus,Rousettus_madagascariensis
6641,0.3,0.98,-0.09,Pteropus_rufus,Rousettus_madagascariensis
6661,0.35,0.99,0,Pteropus_rufus,Rousettus_madagascariensis
6681,0.3,0.98,-0.09,Pteropus_rufus,Rousettus_madagascariensis
6701,0.44,0.98,0.08,Pteropus_rufus,Rousettus_madagascariensis
6721,0.47,0.98,0.07,Pteropus_rufus,Rousettus_madagascariensis
6741,0.41,0.98,-0.06,Pteropus_rufus,Rousettus_madagascariensis
6761,0.35,0.98,-0.21,Pteropus_rufus,Rousettus_madagascariensis
6781,0.39,0.97,-0.06,Pteropus_rufus,Rousettus_madagascariensis
6801,0.43,0.97,-0.04,Pteropus_rufus,Rousettus_madagascariensis
6821,0.52,0.96,0.06,Pteropus_rufus,Rousettus_madagascariensis
6841,0.59,0.97,0.2,Pteropus_rufus,Rousettus_madagascariensis
6861,0.56,0.96,0.09,Pteropus_rufus,Rousettus_madagascariensis
6881,0.56,0.96,0.2,Pteropus_rufus,Rousettus_madagascariensis
6901,0.56,0.96,0.04,Pteropus_rufus,Rousettus_madagascariensis
6921,0.55,0.95,0.08,Pteropus_rufus,Rousettus_madagascariensis
6941,0.58,0.95,0.29,Pteropus_rufus,Rousettus_madagascariensis
6961,0.54,0.95,0.35,Pteropus_rufus,Rousettus_madagascariensis
6981,0.52,0.95,0.26,Pteropus_rufus,Rousettus_madagascariensis
7001,0.43,0.96,0.18,Pteropus_rufus,Rousettus_madagascariensis
7021,0.35,0.96,0.13,Pteropus_rufus,Rousettus_madagascariensis
7041,0.27,0.96,-0.09,Pteropus_rufus,Rousettus_madagascariensis
7061,0.4,0.98,0.02,Pteropus_rufus,Rousettus_madagascariensis
7081,0.41,0.98,0.01,Pteropus_rufus,Rousettus_madagascariensis
7101,0.37,0.98,-0.02,Pteropus_rufus,Rousettus_madagascariensis
7121,0.39,0.98,-0.06,Pteropus_rufus,Rousettus_madagascariensis
7141,0.45,0.98,-0.41,Pteropus_rufus,Rousettus_madagascariensis
7161,0.51,0.98,-0.4,Pteropus_rufus,Rousettus_madagascariensis
7181,0.56,0.99,-0.1,Pteropus_rufus,Rousettus_madagascariensis
7201,0.66,0.99,0.14,Pteropus_rufus,Rousettus_madagascariensis
7221,0.62,0.98,0.19,Pteropus_rufus,Rousettus_madagascariensis
7241,0.64,0.98,0.3,Pteropus_rufus,Rousettus_madagascariensis
7261,0.62,0.97,0.34,Pteropus_rufus,Rousettus_madagascariensis
7281,0.66,0.97,0.42,Pteropus_rufus,Rousettus_madagascariensis
7301,0.7,0.97,0.47,Pteropus_rufus,Rousettus_madagascariensis
7321,0.71,0.97,0.57,Pteropus_rufus,Rousettus_madagascariensis
7341,0.7,0.97,0.62,Pteropus_rufus,Rousettus_madagascariensis
