FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig4\SimPlot\AlignAllNobecoMinusInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China","HM211099_1_HKU_9_5_1_Rousettus_leschenaulti_China","HM211098_1_HKU_9_5_1_Rhinolphus_sinicus_China","MG762674_1_HKU9_Rousettus_sp_China","MG693170_1_Eidolon_helvum_Cameroon","EF065514_1_HKU_9_2_Rousettus_leschenaulti_China","HM211100_1_HKU_9_10_1_Rousettus_leschenaulti_China","EF065515_1_HKU_9_3_Rousettus_leschenaulti_China","EF065516_1_HKU_9_4_Rousettus_leschenaulti_China"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon","MG693172_1_Eidolon_helvum_Cameroon","MG693171_1_Eidolon_helvum_Cameroon","MG693169_1_Eidolon_helvum_Cameroon"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_new","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_new"
"3920","67","30","3"
"3940","53","27","20"
"3960","54","29","17"
"3980","82","13","5"
"4000","74","16","10"
"4020","86","9","5"
"4040","84","12","4"
"4060","98","1","1"
"4080","100","0","0"
"4100","100","0","0"
"4120","100","0","0"
"4140","100","0","0"
"4160","100","0","0"
"4180","100","0","0"
"4200","100","0","0"
"4220","100","0","0"
"4240","100","0","0"
"4260","100","0","0"
"4280","100","0","0"
"4300","100","0","0"
"4320","100","0","0"
"4340","100","0","0"
"4360","100","0","0"
"4380","100","0","0"
"4400","100","0","0"
"4420","100","0","0"
"4440","100","0","0"
"4460","100","0","0"
"4480","100","0","0"
"4500","99","1","0"
"4520","99","0","1"
"4540","100","0","0"
"4560","100","0","0"
"4580","100","0","0"
"4600","100","0","0"
"4620","100","0","0"
"4640","99","1","0"
"4660","100","0","0"
"4680","100","0","0"
"4700","100","0","0"
"4720","100","0","0"
"4740","100","0","0"
"4760","100","0","0"
"4780","100","0","0"
"4800","100","0","0"
"4820","100","0","0"
"4840","100","0","0"
"4860","100","0","0"
"4880","100","0","0"
"4900","100","0","0"
"4920","99","1","0"
"4940","100","0","0"
"4960","98","0","2"
"4980","95","5","0"
"5000","95","5","0"
"5020","99","1","0"
"5040","100","0","0"
"5060","94","4","2"
"5080","93","7","0"
"5100","99","1","0"
"5120","100","0","0"
"5140","100","0","0"
"5160","100","0","0"
"5180","100","0","0"
"5200","100","0","0"
"5220","99","1","0"
"5240","100","0","0"
"5260","100","0","0"
"5280","100","0","0"
"5300","100","0","0"
"5320","100","0","0"
"5340","100","0","0"
"5360","97","3","0"
"5380","100","0","0"
"5400","100","0","0"
"5420","98","1","1"
"5440","99","1","0"
"5460","96","2","2"
"5480","100","0","0"
"5500","100","0","0"
"5520","100","0","0"
"5540","100","0","0"
"5560","100","0","0"
"5580","100","0","0"
"5600","100","0","0"
"5620","100","0","0"
"5640","100","0","0"
"5660","100","0","0"
"5680","100","0","0"
"5700","100","0","0"
"5720","100","0","0"
"5740","100","0","0"
"5760","100","0","0"
"5780","100","0","0"
"5800","100","0","0"
"5820","100","0","0"
"5840","100","0","0"
"5860","100","0","0"
"5880","100","0","0"
"5900","100","0","0"
"5920","100","0","0"
"5940","100","0","0"
"5960","100","0","0"
"5980","100","0","0"
"6000","100","0","0"
"6020","100","0","0"
"6040","100","0","0"
"6060","100","0","0"
"6080","94","4","2"
"6100","97","1","2"
"6120","100","0","0"
"6140","98","0","2"
"6160","98","0","2"
"6180","100","0","0"
"6200","100","0","0"
"6220","100","0","0"
"6240","100","0","0"
"6260","100","0","0"
"6280","100","0","0"
"6300","100","0","0"
"6320","100","0","0"
"6340","100","0","0"
"6360","100","0","0"
"6380","100","0","0"
"6400","100","0","0"
"6420","100","0","0"
"6440","97","3","0"
"6460","98","2","0"
"6480","97","3","0"
"6500","94","6","0"
"6520","96","4","0"
"6540","91","9","0"
"6560","97","3","0"
"6580","99","1","0"
"6600","98","2","0"
"6620","98","2","0"
"6640","97","2","1"
"6660","94","3","3"
"6680","99","1","0"
"6700","97","3","0"
"6720","95","4","1"
"6740","96","4","0"
"6760","98","2","0"
"6780","90","8","2"
"6800","87","8","5"
"6820","85","6","9"
"6840","93","2","5"
"6860","99","1","0"
"6880","95","0","5"
"6900","94","0","6"
"6920","87","1","12"
"6940","93","0","7"
"6960","86","0","14"
"6980","94","0","6"
"7000","99","0","1"
"7020","99","1","0"
"7040","100","0","0"
"7060","100","0","0"
"7080","100","0","0"
"7100","100","0","0"
"7120","100","0","0"
"7140","100","0","0"
"7160","100","0","0"
"7180","100","0","0"
"7200","100","0","0"
"7220","100","0","0"
"7240","100","0","0"
"7260","100","0","0"
"7280","100","0","0"
"7300","100","0","0"
"7320","100","0","0"
"7340","100","0","0"
"7360","100","0","0"
"7380","100","0","0"
"7400","100","0","0"
"7420","100","0","0"
"7440","100","0","0"
"7460","100","0","0"
"7480","100","0","0"
"7500","100","0","0"
"7520","100","0","0"
"7540","100","0","0"
"7560","100","0","0"
"7580","100","0","0"
"7600","100","0","0"
"7620","100","0","0"
"7640","100","0","0"
"7660","100","0","0"
"7680","100","0","0"
"7700","100","0","0"
"7720","100","0","0"
"7740","100","0","0"
"7760","100","0","0"
"7780","100","0","0"
"7800","100","0","0"
"7820","100","0","0"
"7840","100","0","0"
"7860","100","0","0"
"7880","100","0","0"
"7900","100","0","0"
"7920","100","0","0"
"7940","100","0","0"
"7960","100","0","0"
"7980","100","0","0"
"8000","100","0","0"
"8020","100","0","0"
"8040","100","0","0"
"8060","100","0","0"
"8080","100","0","0"
"8100","100","0","0"
"8120","100","0","0"
"8140","100","0","0"
"8160","100","0","0"
"8180","100","0","0"
"8200","100","0","0"
"8220","100","0","0"
"8240","100","0","0"
"8260","100","0","0"
"8280","100","0","0"
"8300","100","0","0"
"8320","100","0","0"
"8340","100","0","0"
"8360","100","0","0"
"8380","97","0","3"
"8400","100","0","0"
"8420","100","0","0"
"8440","99","0","1"
"8460","100","0","0"
"8480","100","0","0"
"8500","100","0","0"
"8520","100","0","0"
"8540","100","0","0"
"8560","100","0","0"
"8580","100","0","0"
"8600","100","0","0"
"8620","100","0","0"
"8640","100","0","0"
"8660","100","0","0"
"8680","100","0","0"
"8700","100","0","0"
"8720","100","0","0"
"8740","100","0","0"
"8760","100","0","0"
"8780","100","0","0"
"8800","100","0","0"
"8820","100","0","0"
"8840","100","0","0"
"8860","100","0","0"
"8880","100","0","0"
"8900","100","0","0"
"8920","100","0","0"
"8940","100","0","0"
"8960","100","0","0"
"8980","100","0","0"
"9000","100","0","0"
"9020","100","0","0"
"9040","100","0","0"
"9060","100","0","0"
"9080","100","0","0"
"9100","100","0","0"
"9120","100","0","0"
"9140","100","0","0"
"9160","100","0","0"
"9180","100","0","0"
"9200","100","0","0"
"9220","100","0","0"
"9240","100","0","0"
"9260","100","0","0"
"9280","100","0","0"
"9300","100","0","0"
"9320","99","1","0"
"9340","100","0","0"
"9360","100","0","0"
"9380","100","0","0"
"9400","100","0","0"
"9420","100","0","0"
"9440","100","0","0"
"9460","100","0","0"
"9480","100","0","0"
"9500","100","0","0"
"9520","100","0","0"
"9540","100","0","0"
"9560","100","0","0"
"9580","100","0","0"
"9600","100","0","0"
"9620","100","0","0"
"9640","100","0","0"
"9660","100","0","0"
"9680","100","0","0"
"9700","100","0","0"
"9720","100","0","0"
"9740","100","0","0"
"9760","100","0","0"
"9780","100","0","0"
"9800","100","0","0"
"9820","100","0","0"
"9840","100","0","0"
"9860","100","0","0"
"9880","100","0","0"
"9900","100","0","0"
"9920","100","0","0"
"9940","100","0","0"
"9960","100","0","0"
"9980","100","0","0"
"10000","100","0","0"
"10020","100","0","0"
"10040","100","0","0"
"10060","100","0","0"
"10080","100","0","0"
"10100","100","0","0"
"10120","100","0","0"
"10140","100","0","0"
"10160","100","0","0"
"10180","100","0","0"
"10200","100","0","0"
"10220","100","0","0"
"10240","100","0","0"
"10260","100","0","0"
"10280","100","0","0"
"10300","100","0","0"
"10320","100","0","0"
"10340","100","0","0"
"10360","100","0","0"
"10380","100","0","0"
"10400","100","0","0"
"10420","100","0","0"
"10440","100","0","0"
"10460","100","0","0"
"10480","100","0","0"
"10500","100","0","0"
"10520","100","0","0"
"10540","100","0","0"
"10560","100","0","0"
"10580","100","0","0"
"10600","99","1","0"
"10620","100","0","0"
"10640","100","0","0"
"10660","100","0","0"
"10680","100","0","0"
"10700","100","0","0"
"10720","100","0","0"
"10740","100","0","0"
"10760","100","0","0"
"10780","100","0","0"
"10800","100","0","0"
"10820","100","0","0"
"10840","100","0","0"
"10860","100","0","0"
"10880","100","0","0"
"10900","100","0","0"
"10920","100","0","0"
"10940","100","0","0"
"10960","100","0","0"
"10980","100","0","0"
"11000","100","0","0"
"11020","100","0","0"
"11040","100","0","0"
"11060","100","0","0"
"11080","100","0","0"
"11100","100","0","0"
"11120","100","0","0"
"11140","100","0","0"
"11160","100","0","0"
"11180","100","0","0"
"11200","100","0","0"
"11220","100","0","0"
"11240","100","0","0"
"11260","100","0","0"
"11280","100","0","0"
"11300","100","0","0"
"11320","100","0","0"
"11340","100","0","0"
"11360","100","0","0"
"11380","100","0","0"
"11400","100","0","0"
"11420","100","0","0"
"11440","100","0","0"
"11460","100","0","0"
"11480","100","0","0"
"11500","100","0","0"
"11520","99","0","1"
"11540","100","0","0"
"11560","100","0","0"
"11580","100","0","0"
"11600","100","0","0"
"11620","100","0","0"
"11640","100","0","0"
"11660","100","0","0"
"11680","100","0","0"
"11700","100","0","0"
"11720","100","0","0"
"11740","100","0","0"
"11760","100","0","0"
"11780","100","0","0"
"11800","100","0","0"
"11820","100","0","0"
"11840","100","0","0"
"11860","100","0","0"
"11880","100","0","0"
"11900","100","0","0"
"11920","100","0","0"
"11940","100","0","0"
"11960","100","0","0"
"11980","100","0","0"
"12000","100","0","0"
"12020","99","1","0"
"12040","100","0","0"
"12060","100","0","0"
"12080","100","0","0"
"12100","100","0","0"
"12120","100","0","0"
"12140","100","0","0"
"12160","100","0","0"
"12180","100","0","0"
"12200","100","0","0"
"12220","100","0","0"
"12240","100","0","0"
"12260","100","0","0"
"12280","100","0","0"
"12300","100","0","0"
"12320","100","0","0"
"12340","100","0","0"
"12360","100","0","0"
"12380","100","0","0"
"12400","100","0","0"
"12420","100","0","0"
"12440","100","0","0"
"12460","100","0","0"
"12480","100","0","0"
"12500","100","0","0"
"12520","100","0","0"
"12540","100","0","0"
"12560","100","0","0"
"12580","100","0","0"
"12600","100","0","0"
"12620","100","0","0"
"12640","100","0","0"
"12660","100","0","0"
"12680","100","0","0"
"12700","100","0","0"
"12720","100","0","0"
"12740","100","0","0"
"12760","100","0","0"
"12780","100","0","0"
"12800","100","0","0"
"12820","100","0","0"
"12840","100","0","0"
"12860","100","0","0"
"12880","100","0","0"
"12900","100","0","0"
"12920","100","0","0"
"12940","100","0","0"
"12960","100","0","0"
"12980","100","0","0"
"13000","100","0","0"
"13020","100","0","0"
"13040","100","0","0"
"13060","100","0","0"
"13080","100","0","0"
"13100","100","0","0"
"13120","100","0","0"
"13140","100","0","0"
"13160","100","0","0"
"13180","100","0","0"
"13200","100","0","0"
"13220","100","0","0"
"13240","99","1","0"
"13260","97","2","1"
"13280","98","2","0"
"13300","90","10","0"
"13320","97","3","0"
"13340","100","0","0"
"13360","100","0","0"
"13380","100","0","0"
"13400","100","0","0"
"13420","100","0","0"
"13440","100","0","0"
"13460","100","0","0"
"13480","100","0","0"
"13500","100","0","0"
"13520","100","0","0"
"13540","100","0","0"
"13560","100","0","0"
"13580","100","0","0"
"13600","100","0","0"
"13620","100","0","0"
"13640","100","0","0"
"13660","100","0","0"
"13680","100","0","0"
"13700","100","0","0"
"13720","100","0","0"
"13740","100","0","0"
"13760","100","0","0"
"13780","100","0","0"
"13800","100","0","0"
"13820","100","0","0"
"13840","100","0","0"
"13860","100","0","0"
"13880","100","0","0"
"13900","100","0","0"
"13920","100","0","0"
"13940","100","0","0"
"13960","100","0","0"
"13980","100","0","0"
"14000","100","0","0"
"14020","100","0","0"
"14040","100","0","0"
"14060","100","0","0"
"14080","100","0","0"
"14100","100","0","0"
"14120","100","0","0"
"14140","100","0","0"
"14160","100","0","0"
"14180","100","0","0"
"14200","100","0","0"
"14220","99","1","0"
"14240","100","0","0"
"14260","98","2","0"
"14280","100","0","0"
"14300","100","0","0"
"14320","99","1","0"
"14340","100","0","0"
"14360","100","0","0"
"14380","100","0","0"
"14400","100","0","0"
"14420","100","0","0"
"14440","100","0","0"
"14460","100","0","0"
"14480","100","0","0"
"14500","100","0","0"
"14520","100","0","0"
"14540","100","0","0"
"14560","100","0","0"
"14580","100","0","0"
"14600","100","0","0"
"14620","100","0","0"
"14640","100","0","0"
"14660","100","0","0"
"14680","100","0","0"
"14700","100","0","0"
"14720","100","0","0"
"14740","100","0","0"
"14760","100","0","0"
"14780","100","0","0"
"14800","99","0","1"
"14820","99","0","1"
"14840","100","0","0"
"14860","100","0","0"
"14880","100","0","0"
"14900","100","0","0"
"14920","100","0","0"
"14940","100","0","0"
"14960","100","0","0"
"14980","100","0","0"
"15000","100","0","0"
"15020","100","0","0"
"15040","100","0","0"
"15060","98","1","1"
"15080","100","0","0"
"15100","100","0","0"
"15120","100","0","0"
"15140","100","0","0"
"15160","100","0","0"
"15180","100","0","0"
"15200","100","0","0"
"15220","100","0","0"
"15240","100","0","0"
"15260","100","0","0"
"15280","100","0","0"
"15300","100","0","0"
"15320","100","0","0"
"15340","100","0","0"
"15360","100","0","0"
"15380","100","0","0"
"15400","100","0","0"
"15420","100","0","0"
"15440","100","0","0"
"15460","100","0","0"
"15480","100","0","0"
"15500","100","0","0"
"15520","100","0","0"
"15540","100","0","0"
"15560","100","0","0"
"15580","99","0","1"
"15600","100","0","0"
"15620","100","0","0"
"15640","100","0","0"
"15660","100","0","0"
"15680","100","0","0"
"15700","100","0","0"
"15720","100","0","0"
"15740","100","0","0"
"15760","100","0","0"
"15780","100","0","0"
"15800","100","0","0"
"15820","100","0","0"
"15840","100","0","0"
"15860","100","0","0"
"15880","100","0","0"
"15900","100","0","0"
"15920","100","0","0"
"15940","100","0","0"
"15960","100","0","0"
"15980","100","0","0"
"16000","100","0","0"
"16020","100","0","0"
"16040","100","0","0"
"16060","100","0","0"
"16080","100","0","0"
"16100","100","0","0"
"16120","100","0","0"
"16140","100","0","0"
"16160","100","0","0"
"16180","100","0","0"
"16200","100","0","0"
"16220","100","0","0"
"16240","100","0","0"
"16260","100","0","0"
"16280","100","0","0"
"16300","100","0","0"
"16320","100","0","0"
"16340","100","0","0"
"16360","100","0","0"
"16380","100","0","0"
"16400","100","0","0"
"16420","100","0","0"
"16440","100","0","0"
"16460","100","0","0"
"16480","100","0","0"
"16500","100","0","0"
"16520","100","0","0"
"16540","100","0","0"
"16560","100","0","0"
"16580","100","0","0"
"16600","100","0","0"
"16620","100","0","0"
"16640","100","0","0"
"16660","100","0","0"
"16680","100","0","0"
"16700","100","0","0"
"16720","100","0","0"
"16740","100","0","0"
"16760","100","0","0"
"16780","100","0","0"
"16800","100","0","0"
"16820","100","0","0"
"16840","100","0","0"
"16860","100","0","0"
"16880","100","0","0"
"16900","100","0","0"
"16920","100","0","0"
"16940","100","0","0"
"16960","99","0","1"
"16980","100","0","0"
"17000","99","0","1"
"17020","100","0","0"
"17040","98","0","2"
"17060","100","0","0"
"17080","100","0","0"
"17100","100","0","0"
"17120","100","0","0"
"17140","100","0","0"
"17160","100","0","0"
"17180","100","0","0"
"17200","100","0","0"
"17220","100","0","0"
"17240","100","0","0"
"17260","100","0","0"
"17280","100","0","0"
"17300","100","0","0"
"17320","100","0","0"
"17340","100","0","0"
"17360","100","0","0"
"17380","100","0","0"
"17400","100","0","0"
"17420","100","0","0"
"17440","100","0","0"
"17460","96","0","4"
"17480","96","0","4"
"17500","95","1","4"
"17520","89","1","10"
"17540","88","0","12"
"17560","95","0","5"
"17580","96","0","4"
"17600","84","0","16"
"17620","93","0","7"
"17640","98","0","2"
"17660","100","0","0"
"17680","100","0","0"
"17700","100","0","0"
"17720","100","0","0"
"17740","100","0","0"
"17760","100","0","0"
"17780","100","0","0"
"17800","100","0","0"
"17820","100","0","0"
"17840","100","0","0"
"17860","100","0","0"
"17880","100","0","0"
"17900","100","0","0"
"17920","100","0","0"
"17940","100","0","0"
"17960","99","1","0"
"17980","100","0","0"
"18000","100","0","0"
"18020","100","0","0"
"18040","100","0","0"
"18060","100","0","0"
"18080","100","0","0"
"18100","100","0","0"
"18120","100","0","0"
"18140","100","0","0"
"18160","100","0","0"
"18180","100","0","0"
"18200","100","0","0"
"18220","100","0","0"
"18240","100","0","0"
"18260","100","0","0"
"18280","100","0","0"
"18300","100","0","0"
"18320","100","0","0"
"18340","100","0","0"
"18360","99","1","0"
"18380","100","0","0"
"18400","100","0","0"
"18420","100","0","0"
"18440","100","0","0"
"18460","100","0","0"
"18480","100","0","0"
"18500","100","0","0"
"18520","100","0","0"
"18540","100","0","0"
"18560","100","0","0"
"18580","100","0","0"
"18600","99","1","0"
"18620","100","0","0"
"18640","100","0","0"
"18660","100","0","0"
"18680","100","0","0"
"18700","100","0","0"
"18720","100","0","0"
"18740","100","0","0"
"18760","100","0","0"
"18780","100","0","0"
"18800","100","0","0"
"18820","100","0","0"
"18840","100","0","0"
"18860","100","0","0"
"18880","100","0","0"
"18900","100","0","0"
"18920","100","0","0"
"18940","100","0","0"
"18960","100","0","0"
"18980","100","0","0"
"19000","100","0","0"
"19020","100","0","0"
"19040","100","0","0"
"19060","100","0","0"
"19080","100","0","0"
"19100","100","0","0"
"19120","100","0","0"
"19140","99","0","1"
"19160","100","0","0"
"19180","98","1","1"
"19200","100","0","0"
"19220","100","0","0"
"19240","100","0","0"
"19260","100","0","0"
"19280","100","0","0"
"19300","100","0","0"
"19320","100","0","0"
"19340","100","0","0"
"19360","100","0","0"
"19380","100","0","0"
"19400","100","0","0"
"19420","100","0","0"
"19440","100","0","0"
"19460","100","0","0"
"19480","100","0","0"
"19500","100","0","0"
"19520","100","0","0"
"19540","100","0","0"
"19560","100","0","0"
"19580","100","0","0"
"19600","99","0","1"
"19620","99","0","1"
"19640","98","0","2"
"19660","97","0","3"
"19680","100","0","0"
"19700","99","0","1"
"19720","100","0","0"
"19740","100","0","0"
"19760","100","0","0"
"19780","100","0","0"
"19800","100","0","0"
"19820","100","0","0"
"19840","100","0","0"
"19860","100","0","0"
"19880","100","0","0"
"19900","100","0","0"
"19920","100","0","0"
"19940","100","0","0"
"19960","100","0","0"
"19980","100","0","0"
"20000","100","0","0"
"20020","100","0","0"
"20040","100","0","0"
"20060","100","0","0"
"20080","100","0","0"
"20100","100","0","0"
"20120","100","0","0"
"20140","100","0","0"
"20160","100","0","0"
"20180","100","0","0"
"20200","100","0","0"
"20220","100","0","0"
"20240","100","0","0"
"20260","100","0","0"
"20280","100","0","0"
"20300","100","0","0"
"20320","100","0","0"
"20340","99","0","1"
"20360","100","0","0"
"20380","100","0","0"
"20400","100","0","0"
"20420","100","0","0"
"20440","100","0","0"
"20460","100","0","0"
"20480","100","0","0"
"20500","100","0","0"
"20520","100","0","0"
"20540","100","0","0"
"20560","100","0","0"
"20580","100","0","0"
"20600","100","0","0"
"20620","100","0","0"
"20640","100","0","0"
"20660","100","0","0"
"20680","100","0","0"
"20700","100","0","0"
"20720","100","0","0"
"20740","100","0","0"
"20760","100","0","0"
"20780","100","0","0"
"20800","100","0","0"
"20820","100","0","0"
"20840","100","0","0"
"20860","100","0","0"
"20880","100","0","0"
"20900","100","0","0"
"20920","100","0","0"
"20940","100","0","0"
"20960","92","2","6"
"20980","100","0","0"
"21000","100","0","0"
"21020","99","0","1"
"21040","93","1","6"
"21060","95","2","3"
"21080","91","1","8"
"21100","99","0","1"
"21120","98","1","1"
"21140","100","0","0"
"21160","100","0","0"
"21180","100","0","0"
"21200","100","0","0"
"21220","100","0","0"
"21240","100","0","0"
"21260","100","0","0"
"21280","100","0","0"
"21300","100","0","0"
"21320","100","0","0"
"21340","100","0","0"
"21360","100","0","0"
"21380","100","0","0"
"21400","100","0","0"
"21420","100","0","0"
"21440","100","0","0"
"21460","100","0","0"
"21480","98","2","0"
"21500","97","3","0"
"21520","99","1","0"
"21540","95","5","0"
"21560","99","1","0"
"21580","97","3","0"
"21600","99","1","0"
"21620","96","4","0"
"21640","94","5","1"
"21660","81","16","3"
"21680","81","17","2"
"21700","79","21","0"
"21720","74","24","2"
"21740","78","18","4"
"21760","22","56","22"
"21780","19","37","44"
"21800","20","53","27"
"21820","21","30","49"
"21840","17","45","38"
"21860","30","47","23"
"21880","20","61","19"
"21900","44","36","20"
"21920","38","14","48"
"21940","42","23","35"
"21960","47","9","44"
"21980","42","24","34"
"22000","43","11","46"
"22020","62","18","20"
"22040","57","18","25"
"22060","42","20","38"
"22080","59","4","37"
"22100","54","19","27"
"22120","80","14","6"
"22140","59","36","5"
"22160","74","22","4"
"22180","87","11","2"
"22200","68","30","2"
"22220","45","48","7"
"22240","81","18","1"
"22260","90","7","3"
"22280","88","10","2"
"22300","95","4","1"
"22320","48","22","30"
"22340","69","10","21"
"22360","79","3","18"
"22380","92","0","8"
"22400","99","0","1"
"22420","98","1","1"
"22440","93","1","6"
"22460","93","4","3"
"22480","97","3","0"
"22500","84","16","0"
"22520","95","5","0"
"22540","94","6","0"
"22560","98","2","0"
"22580","84","4","12"
"22600","59","24","17"
"22620","57","27","16"
"22640","59","34","7"
"22660","58","30","12"
"22680","34","25","41"
"22700","22","22","56"
"22720","9","20","71"
"22740","11","16","73"
"22760","12","45","43"
"22780","42","38","20"
"22800","76","12","12"
"22820","85","5","10"
"22840","98","1","1"
"22860","97","1","2"
"22880","100","0","0"
"22900","100","0","0"
"22920","100","0","0"
"22940","100","0","0"
"22960","100","0","0"
"22980","100","0","0"
"23000","98","2","0"
"23020","99","1","0"
"23040","98","2","0"
"23060","99","1","0"
"23080","92","8","0"
"23100","99","1","0"
"23120","100","0","0"
"23140","99","1","0"
