FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\AAAlignmentNoInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"721","0.59","0.56","0.64"
"741","0.59","0.56","0.64"
"761","0.59","0.56","0.64"
"781","0.59","0.56","0.64"
"801","0.59","0.56","0.64"
"821","0.59","0.56","0.64"
"841","0.59","0.56","0.64"
"861","0.59","0.56","0.64"
"881","0.59","0.56","0.64"
"901","0.59","0.56","0.64"
"921","0.59","0.56","0.64"
"941","0.59","0.56","0.64"
"961","0.59","0.56","0.64"
"981","0.59","0.56","0.64"
"1001","0.59","0.56","0.64"
"1021","0.59","0.56","0.64"
"1041","0.59","0.56","0.64"
"1061","0.59","0.56","0.64"
"1081","0.59","0.56","0.64"
"1101","0.59","0.56","0.64"
"1121","0.59","0.56","0.64"
"1141","0.59","0.56","0.64"
"1161","0.59","0.56","0.64"
"1181","0.59","0.56","0.64"
"1201","0.59","0.56","0.64"
"1221","0.59","0.56","0.64"
"1241","0.59","0.56","0.64"
"1261","0.59","0.56","0.64"
"1281","0.59","0.56","0.64"
"1301","0.59","0.56","0.64"
"1321","0.59","0.56","0.64"
"1341","0.59","0.56","0.64"
"1361","0.49","0.49","0.51"
"1381","0.51","0.51","0.51"
"1401","0.55","0.55","0.48"
"1421","0.60","0.62","0.42"
"1441","0.64","0.66","0.43"
"1461","0.55","0.57","0.25"
"1481","0.62","0.63","0.29"
"1501","0.53","0.55","0.09"
"1521","0.50","0.51","0.21"
"1541","0.56","0.53","0.20"
"1561","0.57","0.54","0.27"
"1581","0.50","0.48","0.23"
"1601","0.53","0.51","0.36"
"1621","0.53","0.48","0.43"
"1641","0.58","0.53","0.50"
"1661","0.67","0.63","0.57"
"1681","0.57","0.53","0.47"
"1701","0.63","0.60","0.53"
"1721","0.64","0.63","0.57"
"1741","0.63","0.65","0.61"
"1761","0.65","0.67","0.62"
"1781","0.70","0.72","0.61"
"1801","0.67","0.69","0.55"
"1821","0.65","0.67","0.48"
"1841","0.55","0.57","0.39"
"1861","0.50","0.52","0.32"
"1881","0.50","0.52","0.32"
"1901","0.50","0.52","0.32"
"1921","0.50","0.52","0.32"
"1941","0.50","0.52","0.32"
"1961","0.50","0.52","0.32"
"1981","0.50","0.52","0.32"
"2001","0.50","0.52","0.32"
"2021","0.50","0.52","0.32"
"2041","0.50","0.52","0.32"
"2061","0.50","0.52","0.32"
"2081","0.50","0.52","0.32"
"2101","0.50","0.52","0.32"
"2121","0.50","0.52","0.32"
"2141","0.50","0.52","0.32"
"2161","0.50","0.52","0.32"
"2181","0.50","0.52","0.32"
"2201","0.50","0.52","0.32"
"2221","0.50","0.52","0.32"
"2241","0.50","0.52","0.32"
"2261","0.72","0.72","0.78"
"2281","0.76","0.76","0.82"
"2301","0.80","0.81","0.86"
"2321","0.78","0.79","0.87"
"2341","0.74","0.75","0.80"
"2361","0.69","0.69","0.77"
"2381","0.73","0.74","0.79"
"2401","0.70","0.70","0.75"
"2421","0.68","0.69","0.75"
"2441","0.68","0.69","0.70"
"2461","0.69","0.69","0.72"
"2481","0.71","0.71","0.69"
"2501","0.68","0.68","0.68"
"2521","0.68","0.68","0.66"
"2541","0.71","0.71","0.75"
"2561","0.77","0.77","0.79"
"2581","0.74","0.75","0.79"
"2601","0.76","0.78","0.81"
"2621","0.77","0.79","0.80"
"2641","0.80","0.80","0.76"
"2661","0.82","0.82","0.76"
"2681","0.78","0.78","0.73"
"2701","0.75","0.75","0.61"
"2721","0.74","0.76","0.63"
"2741","0.69","0.71","0.55"
"2761","0.62","0.65","0.47"
"2781","0.63","0.64","0.48"
"2801","0.66","0.67","0.54"
"2821","0.64","0.65","0.59"
"2841","0.62","0.65","0.67"
"2861","0.60","0.63","0.69"
"2881","0.63","0.66","0.71"
"2901","0.62","0.65","0.73"
"2921","0.62","0.65","0.73"
"2941","0.62","0.65","0.73"
"2961","0.62","0.65","0.73"
"2981","0.62","0.65","0.73"
"3001","0.62","0.65","0.73"
"3021","0.62","0.65","0.73"
"3041","0.68","0.68","0.60"
"3061","0.70","0.70","0.57"
"3081","0.70","0.70","0.58"
"3101","0.75","0.75","0.69"
"3121","0.82","0.82","0.74"
"3141","0.79","0.79","0.78"
"3161","0.82","0.82","0.78"
"3181","0.81","0.81","0.77"
"3201","0.85","0.85","0.79"
"3221","0.82","0.82","0.79"
"3241","0.80","0.80","0.81"
"3261","0.82","0.82","0.83"
"3281","0.84","0.84","0.86"
"3301","0.80","0.80","0.86"
"3321","0.73","0.73","0.85"
"3341","0.74","0.74","0.81"
"3361","0.67","0.67","0.80"
"3381","0.72","0.72","0.85"
"3401","0.67","0.67","0.83"
"3421","0.67","0.67","0.83"
"3441","0.67","0.67","0.83"
"3461","0.67","0.67","0.83"
"3481","0.67","0.67","0.83"
"3501","0.67","0.67","0.83"
"3521","0.67","0.67","0.83"
"3541","0.67","0.67","0.83"
"3561","0.67","0.67","0.83"
"3581","0.67","0.67","0.83"
"3601","0.67","0.67","0.83"
"3621","0.47","0.48","0.59"
"3641","0.59","0.56","0.69"
"3661","0.70","0.67","0.72"
"3681","0.68","0.66","0.70"
"3701","0.69","0.67","0.68"
"3721","0.68","0.65","0.64"
"3741","0.78","0.78","0.73"
"3761","0.72","0.72","0.69"
"3781","0.70","0.70","0.72"
"3801","0.72","0.72","0.75"
"3821","0.76","0.76","0.79"
"3841","0.73","0.73","0.78"
"3861","0.71","0.71","0.77"
"3881","0.74","0.74","0.80"
"3901","0.74","0.74","0.78"
"3921","0.71","0.71","0.79"
"3941","0.68","0.68","0.76"
"3961","0.70","0.70","0.75"
"3981","0.65","0.65","0.73"
"4001","0.66","0.66","0.67"
"4021","0.65","0.65","0.66"
"4041","0.69","0.69","0.66"
"4061","0.71","0.71","0.68"
"4081","0.69","0.69","0.65"
"4101","0.74","0.74","0.71"
"4121","0.78","0.78","0.74"
"4141","0.82","0.82","0.78"
"4161","0.84","0.84","0.80"
"4181","0.88","0.88","0.82"
"4201","0.88","0.88","0.87"
"4221","0.87","0.87","0.85"
"4241","0.85","0.85","0.84"
"4261","0.87","0.87","0.85"
"4281","0.90","0.90","0.90"
"4301","0.90","0.90","0.90"
"4321","0.91","0.91","0.91"
"4341","0.87","0.87","0.87"
"4361","0.85","0.85","0.85"
"4381","0.88","0.88","0.86"
"4401","0.88","0.88","0.88"
"4421","0.90","0.90","0.90"
"4441","0.90","0.90","0.90"
"4461","0.85","0.85","0.84"
"4481","0.85","0.85","0.84"
"4501","0.84","0.84","0.81"
"4521","0.86","0.86","0.83"
"4541","0.89","0.89","0.86"
"4561","0.93","0.93","0.89"
"4581","0.93","0.93","0.88"
"4601","0.93","0.93","0.89"
"4621","0.93","0.93","0.89"
"4641","0.95","0.95","0.89"
"4661","0.99","0.99","0.94"
"4681","0.97","0.97","0.93"
"4701","0.97","0.97","0.95"
"4721","0.97","0.97","0.95"
"4741","0.97","0.97","0.95"
"4761","0.98","0.98","0.95"
"4781","0.96","0.96","0.95"
"4801","0.95","0.95","0.94"
"4821","0.95","0.95","0.94"
"4841","0.95","0.95","0.95"
"4861","0.95","0.95","0.93"
"4881","0.97","0.97","0.95"
"4901","0.97","0.97","0.95"
"4921","0.96","0.96","0.93"
"4941","0.93","0.94","0.93"
"4961","0.92","0.93","0.93"
"4981","0.90","0.91","0.93"
"5001","0.91","0.92","0.92"
"5021","0.91","0.92","0.92"
"5041","0.91","0.92","0.92"
"5061","0.90","0.92","0.95"
"5081","0.88","0.90","0.93"
"5101","0.87","0.88","0.94"
"5121","0.87","0.89","0.94"
"5141","0.86","0.86","0.92"
"5161","0.89","0.89","0.91"
"5181","0.92","0.92","0.92"
"5201","0.91","0.91","0.94"
"5221","0.88","0.88","0.91"
"5241","0.88","0.88","0.91"
"5261","0.84","0.84","0.89"
"5281","0.86","0.86","0.90"
"5301","0.88","0.88","0.90"
"5321","0.86","0.86","0.89"
"5341","0.87","0.87","0.91"
"5361","0.85","0.85","0.91"
"5381","0.83","0.83","0.89"
"5401","0.80","0.80","0.87"
"5421","0.84","0.84","0.91"
"5441","0.83","0.83","0.88"
"5461","0.88","0.88","0.91"
"5481","0.87","0.87","0.90"
"5501","0.85","0.85","0.89"
"5521","0.88","0.88","0.92"
"5541","0.89","0.89","0.91"
"5561","0.89","0.89","0.90"
"5581","0.87","0.87","0.88"
"5601","0.90","0.90","0.90"
"5621","0.89","0.89","0.88"
"5641","0.89","0.89","0.89"
"5661","0.87","0.87","0.87"
"5681","0.86","0.86","0.85"
"5701","0.89","0.89","0.86"
"5721","0.87","0.87","0.84"
"5741","0.87","0.87","0.83"
"5761","0.89","0.89","0.82"
"5781","0.91","0.91","0.85"
"5801","0.91","0.91","0.84"
"5821","0.92","0.92","0.85"
"5841","0.93","0.93","0.88"
"5861","0.93","0.93","0.90"
"5881","0.93","0.93","0.86"
"5901","0.92","0.92","0.87"
"5921","0.92","0.92","0.86"
"5941","0.93","0.93","0.87"
"5961","0.92","0.92","0.87"
"5981","0.93","0.93","0.89"
"6001","0.92","0.92","0.89"
"6021","0.93","0.93","0.90"
"6041","0.91","0.91","0.88"
"6061","0.89","0.89","0.85"
"6081","0.89","0.89","0.89"
"6101","0.87","0.87","0.87"
"6121","0.89","0.90","0.90"
"6141","0.88","0.88","0.91"
"6161","0.89","0.89","0.94"
"6181","0.86","0.86","0.92"
"6201","0.81","0.81","0.88"
"6221","0.80","0.81","0.87"
"6241","0.79","0.79","0.87"
"6261","0.82","0.82","0.89"
"6281","0.82","0.82","0.84"
"6301","0.85","0.85","0.86"
"6321","0.83","0.83","0.84"
"6341","0.84","0.84","0.83"
"6361","0.80","0.80","0.78"
"6381","0.83","0.83","0.75"
"6401","0.89","0.89","0.79"
"6421","0.85","0.85","0.74"
"6441","0.88","0.88","0.77"
"6461","0.86","0.86","0.75"
"6481","0.83","0.83","0.75"
"6501","0.83","0.83","0.75"
"6521","0.85","0.84","0.75"
"6541","0.79","0.79","0.66"
"6561","0.77","0.77","0.64"
"6581","0.71","0.71","0.66"
"6601","0.71","0.71","0.68"
"6621","0.71","0.70","0.67"
"6641","0.70","0.70","0.65"
"6661","0.71","0.71","0.69"
"6681","0.80","0.79","0.76"
"6701","0.80","0.80","0.73"
"6721","0.77","0.77","0.72"
"6741","0.80","0.80","0.78"
"6761","0.85","0.85","0.81"
"6781","0.90","0.90","0.83"
"6801","0.91","0.91","0.85"
"6821","0.91","0.91","0.85"
"6841","0.90","0.90","0.85"
"6861","0.89","0.89","0.84"
"6881","0.88","0.88","0.84"
"6901","0.85","0.87","0.84"
"6921","0.88","0.90","0.85"
"6941","0.88","0.90","0.85"
"6961","0.88","0.90","0.85"
"6981","0.88","0.90","0.85"
"7001","0.88","0.90","0.85"
"7021","0.88","0.90","0.85"
"7041","0.88","0.90","0.85"
"7061","0.88","0.90","0.85"
"7081","0.88","0.90","0.85"
"7101","0.88","0.90","0.85"
"7121","0.88","0.90","0.85"
"7141","0.88","0.90","0.85"
"7161","0.88","0.90","0.85"
"7181","0.88","0.90","0.85"
"7201","0.88","0.90","0.85"
"7221","0.88","0.90","0.85"
"7241","0.88","0.90","0.85"
"7261","0.88","0.90","0.85"
"7281","0.88","0.90","0.85"
"7301","0.88","0.90","0.85"
"7321","0.88","0.90","0.85"
"7341","0.88","0.90","0.85"
"7361","0.88","0.90","0.85"
"7381","0.88","0.90","0.85"
"7401","0.88","0.90","0.85"
"7421","0.88","0.90","0.85"
"7441","0.88","0.90","0.85"
"7461","0.88","0.90","0.85"
"7481","0.88","0.90","0.85"
"7501","0.88","0.90","0.85"
"7521","0.88","0.90","0.85"
"7541","0.88","0.90","0.85"
"7561","0.69","0.58","0.61"
"7581","0.69","0.58","0.61"
"7601","0.77","0.66","0.63"
"7621","0.77","0.66","0.63"
"7641","0.77","0.66","0.63"
"7661","0.77","0.66","0.63"
"7681","0.77","0.66","0.63"
"7701","0.77","0.66","0.63"
"7721","0.77","0.66","0.63"
"7741","0.77","0.66","0.63"
"7761","0.77","0.66","0.63"
"7781","0.77","0.66","0.63"
"7801","0.77","0.66","0.63"
"7821","0.68","0.80","0.68"
"7841","0.73","0.80","0.68"
"7861","0.73","0.78","0.68"
"7881","0.73","0.81","0.62"
"7901","0.72","0.78","0.62"
"7921","0.81","0.81","0.69"
"7941","0.84","0.82","0.70"
"7961","0.87","0.85","0.78"
"7981","0.85","0.87","0.80"
"8001","0.87","0.87","0.81"
"8021","0.88","0.86","0.80"
"8041","0.92","0.90","0.85"
"8061","0.91","0.89","0.83"
"8081","0.87","0.83","0.79"
"8101","0.86","0.82","0.77"
"8121","0.83","0.81","0.73"
"8141","0.82","0.72","0.64"
"8161","0.82","0.72","0.64"
"8181","0.82","0.72","0.64"
"8201","0.86","0.73","0.68"
"8221","0.84","0.73","0.71"
"8241","0.84","0.73","0.71"
"8261","0.84","0.73","0.71"
"8281","0.84","0.73","0.71"
"8301","0.84","0.73","0.71"
"8321","0.84","0.73","0.71"
"8341","0.84","0.73","0.71"
"8361","0.84","0.73","0.71"
"8381","0.84","0.73","0.71"
"8401","0.84","0.73","0.71"
"8421","0.84","0.73","0.71"
"8441","0.84","0.73","0.71"
"8461","0.84","0.73","0.71"
"8481","0.84","0.73","0.71"
"8501","0.84","0.73","0.71"
"8521","0.84","0.73","0.71"
"8541","0.84","0.73","0.71"
"8561","0.84","0.73","0.71"
"8581","0.84","0.73","0.71"
"8601","0.84","0.73","0.71"
"8621","0.84","0.73","0.71"
"8641","0.84","0.73","0.71"
"8661","0.84","0.73","0.71"
"8681","0.84","0.73","0.71"
"8701","0.84","0.73","0.71"
"8721","0.84","0.73","0.71"
"8741","0.84","0.73","0.71"
"8761","0.72","0.75","0.77"
"8781","0.72","0.74","0.75"
"8801","0.72","0.72","0.75"
"8821","0.71","0.71","0.75"
"8841","0.71","0.71","0.75"
"8861","0.71","0.71","0.75"
"8881","0.71","0.71","0.75"
"8901","0.71","0.71","0.75"
"8921","0.71","0.71","0.75"
"8941","0.71","0.71","0.75"
"8961","0.71","0.71","0.75"
"8981","0.71","0.71","0.75"
"9001","0.85","0.87","0.86"
"9021","0.83","0.85","0.81"
"9041","0.84","0.86","0.84"
"9061","0.83","0.83","0.83"
"9081","0.85","0.83","0.83"
"9101","0.87","0.85","0.85"
"9121","0.85","0.83","0.81"
"9141","0.83","0.81","0.80"
"9161","0.87","0.85","0.78"
"9181","0.87","0.85","0.78"
"9201","0.87","0.85","0.78"
"9221","0.87","0.85","0.78"
"9241","0.87","0.85","0.78"
"9261","0.87","0.85","0.78"
"9281","0.87","0.85","0.78"
"9301","0.87","0.85","0.78"
"9321","0.87","0.85","0.78"
"9341","0.87","0.85","0.78"
"9361","0.87","0.85","0.78"
"9381","0.87","0.85","0.78"
"9401","0.87","0.85","0.78"
"9421","0.87","0.85","0.78"
"9441","0.87","0.85","0.78"
"9461","0.87","0.85","0.78"
"9481","0.87","0.85","0.78"
"9501","0.87","0.85","0.78"
"9521","0.87","0.85","0.78"
"9541","0.87","0.85","0.78"
"9561","0.87","0.85","0.78"
"9581","0.87","0.85","0.78"
"9601","0.87","0.85","0.78"
"9621","0.87","0.85","0.78"
"9641","0.87","0.85","0.78"
"9661","0.87","0.85","0.78"
"9681","0.87","0.85","0.78"
"9701","0.87","0.85","0.78"
"9721","0.87","0.85","0.78"
