FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\AAAlignmentWNS7.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1a_-_Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1b_-_Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_AllTranslate_and_1_other_sequence","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1a_-_Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1b_-_Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_S_and_4_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a_-_NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b_-_NC_048212_1_Eidolon_helvum_Cameroon_-_S_-_NC_048212_1_Eidolon_helvum_Cameroon_-_NS3_-_NC_048212_1_Eidolon_helvum_Cameroon_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1a_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1b_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_S_and_4_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"
"Query","Pteropus_rufus"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_S_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1a_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1b_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_S_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"


"CenterPos","Rousettus_madagascariensis","Eidolon_helvum","GX2018-BtCoV92","HKU9","GCCDC1"
"1201","0.66","0.66","0.71","0.73","0.67"
"1221","0.66","0.66","0.71","0.73","0.67"
"1241","0.66","0.66","0.71","0.73","0.67"
"1261","0.66","0.66","0.71","0.73","0.67"
"1281","0.66","0.66","0.71","0.73","0.67"
"1301","0.66","0.66","0.71","0.73","0.67"
"1321","0.66","0.66","0.71","0.73","0.67"
"1341","0.66","0.66","0.71","0.73","0.67"
"1361","0.66","0.66","0.71","0.73","0.67"
"1381","0.66","0.66","0.71","0.73","0.67"
"1401","0.66","0.66","0.71","0.73","0.67"
"1421","0.66","0.66","0.71","0.73","0.67"
"1441","0.66","0.66","0.71","0.73","0.67"
"1461","0.66","0.66","0.71","0.73","0.67"
"1481","0.66","0.66","0.71","0.73","0.67"
"1501","0.66","0.66","0.71","0.73","0.67"
"1521","0.66","0.66","0.71","0.73","0.67"
"1541","0.66","0.66","0.71","0.73","0.67"
"1561","0.66","0.66","0.71","0.73","0.67"
"1581","0.66","0.66","0.71","0.73","0.67"
"1601","0.66","0.66","0.71","0.73","0.67"
"1621","0.66","0.66","0.71","0.73","0.67"
"1641","0.66","0.66","0.71","0.73","0.67"
"1661","0.66","0.66","0.71","0.73","0.67"
"1681","0.66","0.66","0.71","0.73","0.67"
"1701","0.66","0.66","0.71","0.73","0.67"
"1721","0.75","0.72","0.63","0.61","0.70"
"1741","0.70","0.66","0.55","0.52","0.63"
"1761","0.68","0.65","0.56","0.53","0.60"
"1781","0.69","0.68","0.58","0.56","0.60"
"1801","0.73","0.74","0.62","0.65","0.63"
"1821","0.73","0.75","0.71","0.70","0.63"
"1841","0.71","0.72","0.68","0.68","0.59"
"1861","0.73","0.75","0.64","0.61","0.58"
"1881","0.69","0.71","0.60","0.58","0.56"
"1901","0.69","0.71","0.60","0.58","0.56"
"1921","0.69","0.71","0.60","0.58","0.56"
"1941","0.69","0.71","0.60","0.58","0.56"
"1961","0.69","0.71","0.60","0.58","0.56"
"1981","0.69","0.71","0.60","0.58","0.56"
"2001","0.69","0.71","0.60","0.58","0.56"
"2021","0.69","0.71","0.60","0.58","0.56"
"2041","0.69","0.71","0.60","0.58","0.56"
"2061","0.69","0.71","0.60","0.58","0.56"
"2081","0.69","0.71","0.60","0.58","0.56"
"2101","0.69","0.71","0.60","0.58","0.56"
"2121","0.69","0.71","0.60","0.58","0.56"
"2141","0.69","0.71","0.60","0.58","0.56"
"2161","0.69","0.71","0.60","0.58","0.56"
"2181","0.69","0.71","0.60","0.58","0.56"
"2201","0.69","0.71","0.60","0.58","0.56"
"2221","0.69","0.71","0.60","0.58","0.56"
"2241","0.69","0.71","0.60","0.58","0.56"
"2261","0.69","0.71","0.60","0.58","0.56"
"2281","0.69","0.71","0.60","0.58","0.56"
"2301","0.69","0.71","0.60","0.58","0.56"
"2321","0.69","0.71","0.60","0.58","0.56"
"2341","0.77","0.77","0.86","0.83","0.83"
"2361","0.80","0.80","0.86","0.84","0.83"
"2381","0.80","0.81","0.86","0.86","0.86"
"2401","0.80","0.81","0.84","0.84","0.84"
"2421","0.75","0.76","0.81","0.79","0.84"
"2441","0.76","0.76","0.81","0.79","0.81"
"2461","0.78","0.78","0.85","0.81","0.83"
"2481","0.75","0.75","0.84","0.78","0.78"
"2501","0.69","0.70","0.79","0.73","0.73"
"2521","0.72","0.72","0.79","0.72","0.73"
"2541","0.73","0.73","0.80","0.72","0.73"
"2561","0.73","0.73","0.78","0.70","0.69"
"2581","0.71","0.71","0.75","0.69","0.68"
"2601","0.68","0.68","0.77","0.71","0.70"
"2621","0.75","0.75","0.79","0.78","0.75"
"2641","0.75","0.75","0.77","0.79","0.79"
"2661","0.70","0.72","0.74","0.75","0.76"
"2681","0.75","0.77","0.73","0.77","0.83"
"2701","0.78","0.78","0.76","0.81","0.86"
"2721","0.82","0.82","0.74","0.81","0.88"
"2741","0.80","0.80","0.74","0.79","0.85"
"2761","0.78","0.78","0.69","0.74","0.82"
"2781","0.75","0.74","0.60","0.67","0.73"
"2801","0.74","0.74","0.57","0.64","0.69"
"2821","0.66","0.66","0.50","0.56","0.61"
"2841","0.60","0.60","0.47","0.54","0.57"
"2861","0.63","0.60","0.44","0.54","0.56"
"2881","0.65","0.64","0.56","0.64","0.60"
"2901","0.66","0.67","0.60","0.67","0.59"
"2921","0.59","0.59","0.63","0.66","0.53"
"2941","0.59","0.60","0.59","0.67","0.53"
"2961","0.61","0.62","0.66","0.73","0.62"
"2981","0.61","0.62","0.67","0.71","0.61"
"3001","0.61","0.62","0.67","0.71","0.61"
"3021","0.61","0.62","0.67","0.71","0.61"
"3041","0.61","0.62","0.67","0.71","0.61"
"3061","0.61","0.62","0.67","0.71","0.61"
"3081","0.61","0.62","0.67","0.71","0.61"
"3101","0.61","0.62","0.67","0.71","0.61"
"3121","0.68","0.68","0.65","0.64","0.70"
"3141","0.68","0.68","0.69","0.65","0.74"
"3161","0.72","0.72","0.68","0.65","0.75"
"3181","0.77","0.77","0.76","0.73","0.81"
"3201","0.80","0.80","0.79","0.77","0.83"
"3221","0.82","0.82","0.83","0.81","0.86"
"3241","0.85","0.85","0.82","0.81","0.87"
"3261","0.84","0.84","0.79","0.78","0.84"
"3281","0.82","0.82","0.77","0.77","0.79"
"3301","0.84","0.84","0.80","0.80","0.80"
"3321","0.84","0.84","0.83","0.82","0.81"
"3341","0.86","0.86","0.82","0.82","0.79"
"3361","0.86","0.86","0.86","0.86","0.81"
"3381","0.82","0.82","0.85","0.85","0.77"
"3401","0.78","0.78","0.85","0.85","0.79"
"3421","0.72","0.72","0.79","0.79","0.73"
"3441","0.70","0.70","0.79","0.79","0.72"
"3461","0.75","0.75","0.84","0.82","0.77"
"3481","0.75","0.75","0.84","0.82","0.77"
"3501","0.75","0.75","0.84","0.82","0.77"
"3521","0.75","0.75","0.84","0.82","0.77"
"3541","0.75","0.75","0.84","0.82","0.77"
"3561","0.75","0.75","0.84","0.82","0.77"
"3581","0.75","0.75","0.84","0.82","0.77"
"3601","0.75","0.75","0.84","0.82","0.77"
"3621","0.75","0.75","0.84","0.82","0.77"
"3641","0.75","0.75","0.84","0.82","0.77"
"3661","0.75","0.75","0.84","0.82","0.77"
"3681","0.75","0.75","0.84","0.82","0.77"
"3701","0.54","0.51","0.62","0.63","0.53"
"3721","0.65","0.62","0.70","0.71","0.58"
"3741","0.65","0.62","0.70","0.71","0.58"
"3761","0.67","0.64","0.71","0.69","0.60"
"3781","0.66","0.64","0.72","0.68","0.64"
"3801","0.68","0.66","0.71","0.66","0.65"
"3821","0.72","0.72","0.72","0.67","0.68"
"3841","0.70","0.69","0.72","0.67","0.71"
"3861","0.73","0.73","0.80","0.77","0.78"
"3881","0.70","0.70","0.78","0.76","0.74"
"3901","0.76","0.76","0.82","0.79","0.80"
"3921","0.73","0.73","0.81","0.78","0.77"
"3941","0.73","0.73","0.80","0.78","0.77"
"3961","0.74","0.74","0.81","0.79","0.78"
"3981","0.74","0.74","0.80","0.79","0.76"
"4001","0.71","0.71","0.80","0.80","0.78"
"4021","0.72","0.72","0.81","0.81","0.79"
"4041","0.71","0.71","0.80","0.80","0.75"
"4061","0.65","0.65","0.71","0.72","0.68"
"4081","0.68","0.68","0.74","0.73","0.73"
"4101","0.66","0.66","0.72","0.71","0.71"
"4121","0.70","0.70","0.75","0.72","0.74"
"4141","0.75","0.75","0.79","0.76","0.78"
"4161","0.71","0.71","0.75","0.70","0.72"
"4181","0.77","0.77","0.80","0.76","0.78"
"4201","0.79","0.79","0.81","0.77","0.77"
"4221","0.81","0.81","0.85","0.79","0.79"
"4241","0.83","0.83","0.87","0.81","0.83"
"4261","0.89","0.89","0.93","0.88","0.89"
"4281","0.88","0.88","0.91","0.86","0.87"
"4301","0.88","0.88","0.91","0.85","0.87"
"4321","0.87","0.87","0.90","0.85","0.87"
"4341","0.88","0.87","0.90","0.86","0.86"
"4361","0.91","0.91","0.94","0.91","0.91"
"4381","0.91","0.91","0.94","0.91","0.91"
"4401","0.94","0.94","0.95","0.92","0.92"
"4421","0.93","0.93","0.93","0.91","0.92"
"4441","0.93","0.93","0.91","0.89","0.91"
"4461","0.93","0.93","0.90","0.88","0.91"
"4481","0.95","0.95","0.93","0.93","0.93"
"4501","0.93","0.93","0.91","0.91","0.91"
"4521","0.95","0.95","0.93","0.93","0.91"
"4541","0.90","0.90","0.86","0.86","0.85"
"4561","0.90","0.90","0.87","0.87","0.83"
"4581","0.89","0.89","0.86","0.85","0.82"
"4601","0.89","0.89","0.87","0.87","0.84"
"4621","0.91","0.91","0.89","0.89","0.86"
"4641","0.93","0.93","0.91","0.89","0.88"
"4661","0.93","0.93","0.91","0.90","0.88"
"4681","0.93","0.93","0.92","0.90","0.89"
"4701","0.95","0.95","0.93","0.92","0.90"
"4721","0.95","0.95","0.93","0.90","0.92"
"4741","0.99","0.99","0.99","0.96","0.97"
"4761","0.97","0.97","0.97","0.94","0.97"
"4781","0.97","0.97","0.97","0.95","0.97"
"4801","0.97","0.97","0.97","0.95","0.97"
"4821","0.97","0.97","0.97","0.95","0.97"
"4841","0.98","0.98","0.98","0.96","0.98"
"4861","0.96","0.96","0.96","0.95","0.96"
"4881","0.95","0.95","0.96","0.94","0.95"
"4901","0.95","0.95","0.96","0.94","0.95"
"4921","0.95","0.95","0.96","0.94","0.95"
"4941","0.95","0.95","0.95","0.93","0.94"
"4961","0.97","0.97","0.97","0.94","0.96"
"4981","0.97","0.97","0.97","0.94","0.96"
"5001","0.94","0.95","0.95","0.93","0.94"
"5021","0.93","0.94","0.94","0.93","0.93"
"5041","0.91","0.93","0.94","0.93","0.92"
"5061","0.90","0.91","0.92","0.92","0.94"
"5081","0.90","0.92","0.90","0.92","0.95"
"5101","0.90","0.92","0.90","0.92","0.93"
"5121","0.90","0.92","0.90","0.93","0.93"
"5141","0.90","0.92","0.92","0.95","0.95"
"5161","0.88","0.89","0.89","0.92","0.92"
"5181","0.87","0.88","0.90","0.94","0.94"
"5201","0.89","0.89","0.91","0.94","0.92"
"5221","0.87","0.87","0.90","0.92","0.90"
"5241","0.89","0.89","0.89","0.91","0.91"
"5261","0.92","0.92","0.92","0.92","0.91"
"5281","0.91","0.91","0.94","0.94","0.90"
"5301","0.88","0.88","0.91","0.91","0.88"
"5321","0.88","0.88","0.91","0.91","0.88"
"5341","0.83","0.83","0.88","0.88","0.87"
"5361","0.86","0.86","0.90","0.90","0.89"
"5381","0.86","0.86","0.90","0.89","0.88"
"5401","0.86","0.86","0.90","0.89","0.89"
"5421","0.87","0.87","0.91","0.91","0.91"
"5441","0.85","0.85","0.91","0.91","0.89"
"5461","0.83","0.83","0.89","0.89","0.87"
"5481","0.79","0.79","0.86","0.86","0.83"
"5501","0.84","0.84","0.87","0.89","0.84"
"5521","0.83","0.83","0.86","0.88","0.83"
"5541","0.88","0.88","0.89","0.91","0.84"
"5561","0.87","0.87","0.87","0.90","0.82"
"5581","0.86","0.86","0.84","0.90","0.82"
"5601","0.88","0.88","0.86","0.92","0.84"
"5621","0.89","0.89","0.86","0.91","0.84"
"5641","0.88","0.88","0.84","0.89","0.83"
"5661","0.87","0.87","0.83","0.88","0.81"
"5681","0.90","0.90","0.85","0.90","0.87"
"5701","0.88","0.88","0.86","0.89","0.89"
"5721","0.89","0.89","0.85","0.88","0.89"
"5741","0.87","0.87","0.85","0.87","0.90"
"5761","0.86","0.86","0.83","0.84","0.88"
"5781","0.89","0.89","0.87","0.85","0.90"
"5801","0.87","0.87","0.84","0.83","0.90"
"5821","0.87","0.87","0.82","0.82","0.88"
"5841","0.90","0.90","0.86","0.83","0.91"
"5861","0.91","0.91","0.87","0.84","0.92"
"5881","0.91","0.91","0.87","0.84","0.92"
"5901","0.92","0.92","0.88","0.85","0.92"
"5921","0.93","0.93","0.91","0.88","0.91"
"5941","0.93","0.93","0.88","0.86","0.87"
"5961","0.92","0.92","0.88","0.86","0.88"
"5981","0.92","0.92","0.88","0.86","0.88"
"6001","0.91","0.91","0.87","0.86","0.85"
"6021","0.93","0.93","0.89","0.87","0.89"
"6041","0.91","0.91","0.87","0.86","0.82"
"6061","0.93","0.93","0.89","0.88","0.85"
"6081","0.92","0.92","0.89","0.89","0.84"
"6101","0.92","0.92","0.89","0.89","0.85"
"6121","0.89","0.89","0.86","0.86","0.83"
"6141","0.90","0.90","0.88","0.89","0.84"
"6161","0.90","0.90","0.90","0.91","0.87"
"6181","0.88","0.88","0.89","0.89","0.86"
"6201","0.91","0.91","0.91","0.91","0.87"
"6221","0.89","0.89","0.91","0.92","0.87"
"6241","0.91","0.91","0.94","0.95","0.93"
"6261","0.86","0.86","0.91","0.92","0.89"
"6281","0.82","0.82","0.87","0.89","0.87"
"6301","0.81","0.81","0.87","0.88","0.87"
"6321","0.81","0.81","0.89","0.90","0.89"
"6341","0.82","0.82","0.85","0.89","0.91"
"6361","0.82","0.82","0.81","0.83","0.85"
"6381","0.84","0.84","0.83","0.85","0.85"
"6401","0.83","0.83","0.79","0.84","0.85"
"6421","0.83","0.83","0.79","0.81","0.84"
"6441","0.79","0.79","0.74","0.78","0.81"
"6461","0.84","0.84","0.75","0.78","0.82"
"6481","0.89","0.89","0.78","0.81","0.86"
"6501","0.86","0.87","0.73","0.77","0.80"
"6521","0.89","0.89","0.76","0.79","0.83"
"6541","0.87","0.87","0.73","0.77","0.79"
"6561","0.87","0.87","0.73","0.77","0.79"
"6581","0.87","0.87","0.73","0.77","0.79"
"6601","0.87","0.87","0.73","0.77","0.79"
"6621","0.87","0.87","0.73","0.77","0.79"
"6641","0.87","0.87","0.73","0.77","0.79"
"6661","0.76","0.76","0.72","0.71","0.83"
"6681","0.75","0.75","0.75","0.71","0.83"
"6701","0.73","0.73","0.72","0.69","0.82"
"6721","0.74","0.73","0.69","0.69","0.81"
"6741","0.76","0.75","0.76","0.71","0.84"
"6761","0.82","0.82","0.82","0.79","0.84"
"6781","0.83","0.83","0.79","0.75","0.81"
"6801","0.81","0.81","0.75","0.75","0.76"
"6821","0.86","0.86","0.82","0.83","0.81"
"6841","0.90","0.90","0.83","0.84","0.80"
"6861","0.92","0.92","0.83","0.85","0.82"
"6881","0.92","0.92","0.80","0.87","0.83"
"6901","0.93","0.93","0.81","0.88","0.86"
"6921","0.92","0.92","0.81","0.87","0.85"
"6941","0.92","0.92","0.80","0.88","0.85"
"6961","0.91","0.91","0.77","0.86","0.82"
"6981","0.87","0.88","0.79","0.87","0.85"
"7001","0.89","0.91","0.84","0.89","0.88"
"7021","0.89","0.91","0.84","0.89","0.88"
"7041","0.89","0.91","0.84","0.89","0.88"
"7061","0.89","0.91","0.84","0.89","0.88"
"7081","0.89","0.91","0.84","0.89","0.88"
"7101","0.89","0.91","0.84","0.89","0.88"
"7121","0.89","0.91","0.84","0.89","0.88"
"7141","0.89","0.91","0.84","0.89","0.88"
"7161","0.89","0.91","0.84","0.89","0.88"
"7181","0.89","0.91","0.84","0.89","0.88"
"7201","0.89","0.91","0.84","0.89","0.88"
"7221","0.89","0.91","0.84","0.89","0.88"
"7241","0.89","0.91","0.84","0.89","0.88"
"7261","0.89","0.91","0.84","0.89","0.88"
"7281","0.89","0.91","0.84","0.89","0.88"
"7301","0.89","0.91","0.84","0.89","0.88"
"7321","0.89","0.91","0.84","0.89","0.88"
"7341","0.89","0.91","0.84","0.89","0.88"
"7361","0.89","0.91","0.84","0.89","0.88"
"7381","0.89","0.91","0.84","0.89","0.88"
"7401","0.89","0.91","0.84","0.89","0.88"
"7421","0.89","0.91","0.84","0.89","0.88"
"7441","0.89","0.91","0.84","0.89","0.88"
"7461","0.89","0.91","0.84","0.89","0.88"
"7481","0.89","0.91","0.84","0.89","0.88"
"7501","0.89","0.91","0.84","0.89","0.88"
"7521","0.89","0.91","0.84","0.89","0.88"
"7541","0.89","0.91","0.84","0.89","0.88"
"7561","0.89","0.91","0.84","0.89","0.88"
"7581","0.89","0.91","0.84","0.89","0.88"
"7601","0.89","0.91","0.84","0.89","0.88"
"7621","0.89","0.91","0.84","0.89","0.88"
"7641","0.89","0.91","0.84","0.89","0.88"
"7661","0.89","0.91","0.84","0.89","0.88"
"7681","0.89","0.91","0.84","0.89","0.88"
"7701","0.89","0.91","0.84","0.89","0.88"
"7721","0.89","0.91","0.84","0.89","0.88"
"7741","0.89","0.91","0.84","0.89","0.88"
"7761","0.89","0.91","0.84","0.89","0.88"
"7781","0.89","0.91","0.84","0.89","0.88"
"7801","0.89","0.91","0.84","0.89","0.88"
"7821","0.89","0.91","0.84","0.89","0.88"
"7841","0.89","0.91","0.84","0.89","0.88"
"7861","0.89","0.91","0.84","0.89","0.88"
"7881","0.89","0.91","0.84","0.89","0.88"
"7901","0.89","0.91","0.84","0.89","0.88"
"7921","0.89","0.91","0.84","0.89","0.88"
"7941","0.76","0.81","0.67","0.71","0.77"
"7961","0.76","0.81","0.67","0.71","0.77"
"7981","0.76","0.81","0.67","0.71","0.77"
"8001","0.76","0.81","0.67","0.71","0.77"
"8021","0.84","0.82","0.73","0.72","0.84"
"8041","0.84","0.81","0.74","0.74","0.86"
"8061","0.86","0.84","0.75","0.81","0.88"
"8081","0.87","0.89","0.78","0.82","0.89"
"8101","0.87","0.87","0.77","0.82","0.87"
"8121","0.92","0.90","0.80","0.81","0.88"
"8141","0.91","0.89","0.83","0.85","0.91"
"8161","0.89","0.87","0.80","0.80","0.88"
"8181","0.84","0.80","0.81","0.79","0.88"
"8201","0.84","0.80","0.78","0.77","0.85"
"8221","0.84","0.80","0.78","0.77","0.85"
"8241","0.84","0.80","0.78","0.77","0.85"
"8261","0.84","0.80","0.78","0.77","0.85"
"8281","0.84","0.80","0.78","0.77","0.85"
"8301","0.84","0.80","0.78","0.77","0.85"
"8321","0.84","0.80","0.78","0.77","0.85"
"8341","0.84","0.80","0.78","0.77","0.85"
"8361","0.84","0.80","0.78","0.77","0.85"
"8381","0.84","0.80","0.78","0.77","0.85"
"8401","0.84","0.80","0.78","0.77","0.85"
"8421","0.84","0.80","0.78","0.77","0.85"
"8441","0.84","0.80","0.78","0.77","0.85"
"8461","0.84","0.80","0.78","0.77","0.85"
"8481","0.84","0.80","0.78","0.77","0.85"
"8501","0.84","0.80","0.78","0.77","0.85"
"8521","0.84","0.80","0.78","0.77","0.85"
"8541","0.84","0.80","0.78","0.77","0.85"
"8561","0.84","0.80","0.78","0.77","0.85"
"8581","0.84","0.80","0.78","0.77","0.85"
"8601","0.84","0.80","0.78","0.77","0.85"
"8621","0.84","0.80","0.78","0.77","0.85"
"8641","0.84","0.80","0.78","0.77","0.85"
"8661","0.84","0.80","0.78","0.77","0.85"
"8681","0.84","0.80","0.78","0.77","0.85"
"8701","0.84","0.80","0.78","0.77","0.85"
"8721","0.84","0.80","0.78","0.77","0.85"
"8741","0.84","0.80","0.78","0.77","0.85"
"8761","0.84","0.80","0.78","0.77","0.85"
"8781","0.84","0.80","0.78","0.77","0.85"
"8801","0.84","0.80","0.78","0.77","0.85"
"8821","0.84","0.80","0.78","0.77","0.85"
"8841","0.73","0.76","0.72","0.77","0.73"
"8861","0.74","0.74","0.74","0.75","0.74"
"8881","0.71","0.71","0.73","0.74","0.76"
"8901","0.71","0.71","0.73","0.74","0.76"
"8921","0.71","0.71","0.73","0.74","0.76"
"8941","0.71","0.71","0.73","0.74","0.76"
"8961","0.71","0.71","0.73","0.74","0.76"
"8981","0.71","0.71","0.73","0.74","0.76"
"9001","0.71","0.71","0.73","0.74","0.76"
"9021","0.71","0.71","0.73","0.74","0.76"
"9041","0.71","0.71","0.73","0.74","0.76"
"9061","0.71","0.71","0.73","0.74","0.76"
"9081","0.71","0.71","0.73","0.74","0.76"
"9101","0.83","0.85","0.81","0.83","0.84"
"9121","0.84","0.86","0.84","0.88","0.83"
"9141","0.83","0.83","0.83","0.87","0.82"
"9161","0.85","0.83","0.83","0.87","0.82"
"9181","0.86","0.84","0.85","0.88","0.84"
