FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig4\SimPlot\AlignAllNobecoMinusInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China","HM211099_1_HKU_9_5_1_Rousettus_leschenaulti_China","HM211098_1_HKU_9_5_1_Rhinolphus_sinicus_China","MG762674_1_HKU9_Rousettus_sp_China","MG693170_1_Eidolon_helvum_Cameroon","EF065514_1_HKU_9_2_Rousettus_leschenaulti_China","HM211100_1_HKU_9_10_1_Rousettus_leschenaulti_China","EF065515_1_HKU_9_3_Rousettus_leschenaulti_China","EF065516_1_HKU_9_4_Rousettus_leschenaulti_China"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon","MG693172_1_Eidolon_helvum_Cameroon","MG693171_1_Eidolon_helvum_Cameroon","MG693169_1_Eidolon_helvum_Cameroon"
"Query","Rousettus_madagascariensis"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_new"


"CenterPos","HKU9","Eidolon_helvum","Pteropus_rufus"
"2221","0.07","0.87","-0.33"
"2241","0.16","0.86","-0.19"
"2261","0.29","0.86","-0.27"
"2281","0.31","0.87","-0.30"
"2301","0.29","0.89","-0.67"
"2321","0.24","0.90","-0.66"
"2341","0.32","0.90","-0.54"
"2361","0.37","0.90","-0.60"
"2381","0.43","0.90","-0.46"
"2401","0.52","0.91","-0.27"
"2421","0.47","0.92","-0.39"
"2441","0.49","0.93","-0.18"
"2461","0.48","0.91","-0.14"
"2481","0.39","0.92","-0.17"
"2501","0.42","0.92","0.12"
"2521","0.47","0.91","0.15"
"2541","0.45","0.93","0.10"
"2561","0.50","0.94","0.15"
"2581","0.50","0.94","0.19"
"2601","0.49","0.95","0.17"
"2621","0.55","0.95","0.18"
"2641","0.49","0.95","0.07"
"2661","0.54","0.97","0.24"
"2681","0.65","0.96","0.23"
"2701","0.62","0.96","0.17"
"2721","0.59","0.96","0.20"
"2741","0.64","0.97","0.21"
"2761","0.59","0.97","0.16"
"2781","0.55","0.96","0.07"
"2801","0.61","0.96","0.17"
"2821","0.57","0.95","0.18"
"2841","0.59","0.95","0.24"
"2861","0.54","0.94","0.12"
"2881","0.56","0.95","0.25"
"2901","0.57","0.96","0.24"
"2921","0.57","0.96","0.29"
"2941","0.56","0.96","0.37"
"2961","0.56","0.96","0.41"
"2981","0.59","0.96","0.44"
"3001","0.50","0.96","0.38"
"3021","0.50","0.98","0.34"
"3041","0.50","0.98","0.31"
"3061","0.54","0.99","0.38"
"3081","0.44","0.98","0.30"
"3101","0.45","0.98","0.34"
"3121","0.45","0.98","0.34"
"3141","0.45","0.98","0.34"
"3161","0.45","0.98","0.34"
"3181","0.45","0.98","0.34"
"3201","0.45","0.98","0.34"
"3221","0.45","0.98","0.34"
"3241","0.34","0.96","0.38"
"3261","0.36","0.96","0.37"
"3281","0.41","0.97","0.42"
"3301","0.45","0.96","0.35"
"3321","0.48","0.96","0.36"
"3341","0.47","0.96","0.39"
"3361","0.52","0.97","0.42"
"3381","0.50","0.97","0.41"
"3401","0.47","0.97","0.45"
"3421","0.60","0.97","0.53"
"3441","0.54","0.97","0.49"
"3461","0.52","0.97","0.48"
"3481","0.44","0.97","0.41"
"3501","0.41","0.98","0.46"
"3521","0.44","0.98","0.47"
"3541","0.46","0.97","0.38"
"3561","0.37","0.96","0.26"
"3581","0.28","0.96","0.19"
"3601","0.35","0.96","0.14"
"3621","0.18","0.96","0.06"
"3641","0.23","0.95","0.03"
"3661","0.27","0.95","0.05"
"3681","0.35","0.94","0.09"
"3701","0.31","0.93","0.01"
"3721","0.23","0.92","0.07"
"3741","0.14","0.91","0.18"
"3761","0.14","0.91","0.18"
"3781","0.14","0.91","0.18"
"3801","0.14","0.91","0.18"
"3821","0.14","0.91","0.18"
"3841","0.14","0.91","0.18"
"3861","0.14","0.91","0.18"
"3881","0.14","0.91","0.18"
"3901","0.14","0.91","0.18"
"3921","0.14","0.91","0.18"
"3941","0.14","0.91","0.18"
"3961","0.14","0.91","0.18"
"3981","0.33","0.92","-0.03"
"4001","0.33","0.92","0.01"
"4021","0.30","0.92","0.00"
"4041","0.30","0.92","0.00"
"4061","0.12","0.93","0.05"
"4081","0.16","0.91","0.02"
"4101","0.12","0.92","0.04"
"4121","0.28","0.90","0.12"
"4141","0.28","0.92","0.12"
"4161","0.39","0.92","0.24"
"4181","0.40","0.91","0.22"
"4201","0.42","0.91","0.25"
"4221","0.44","0.91","0.23"
"4241","0.41","0.92","0.17"
"4261","0.44","0.90","0.15"
"4281","0.46","0.91","0.18"
"4301","0.53","0.89","0.20"
"4321","0.47","0.90","0.19"
"4341","0.54","0.90","0.21"
"4361","0.54","0.93","0.08"
"4381","0.55","0.94","0.07"
"4401","0.51","0.94","-0.03"
"4421","0.46","0.95","-0.10"
"4441","0.49","0.94","0.04"
"4461","0.52","0.95","0.08"
"4481","0.49","0.96","0.07"
"4501","0.42","0.98","-0.04"
"4521","0.41","0.97","0.04"
"4541","0.44","0.97","0.05"
"4561","0.43","0.96","0.10"
"4581","0.38","0.97","0.12"
"4601","0.47","0.97","0.19"
"4621","0.50","0.97","0.20"
"4641","0.44","0.98","0.13"
"4661","0.44","0.97","0.09"
"4681","0.43","0.96","0.05"
"4701","0.53","0.96","0.16"
"4721","0.46","0.96","0.06"
"4741","0.39","0.96","0.06"
"4761","0.32","0.97","0.04"
"4781","0.32","0.96","-0.02"
"4801","0.32","0.96","-0.06"
"4821","0.36","0.96","0.02"
"4841","0.47","0.95","0.08"
"4861","0.46","0.95","0.17"
"4881","0.46","0.95","0.17"
"4901","0.42","0.95","0.06"
"4921","0.48","0.95","0.03"
"4941","0.49","0.96","0.06"
"4961","0.48","0.95","0.15"
"4981","0.52","0.95","0.28"
"5001","0.49","0.95","0.29"
"5021","0.47","0.95","0.28"
"5041","0.47","0.95","0.30"
"5061","0.45","0.96","0.19"
"5081","0.43","0.96","0.22"
"5101","0.45","0.95","0.31"
"5121","0.50","0.96","0.28"
"5141","0.49","0.96","0.24"
"5161","0.50","0.96","0.10"
"5181","0.50","0.95","-0.02"
"5201","0.45","0.95","-0.04"
"5221","0.48","0.96","0.12"
"5241","0.42","0.96","0.00"
"5261","0.45","0.96","0.02"
"5281","0.49","0.97","0.02"
"5301","0.53","0.97","-0.09"
"5321","0.52","0.97","0.06"
"5341","0.56","0.97","0.08"
"5361","0.60","0.98","0.10"
"5381","0.59","0.98","0.10"
"5401","0.57","0.98","0.10"
"5421","0.55","0.98","-0.07"
"5441","0.60","0.97","0.05"
"5461","0.58","0.98","0.07"
"5481","0.58","0.98","0.09"
"5501","0.52","0.97","0.15"
"5521","0.58","0.97","0.19"
"5541","0.59","0.97","0.17"
"5561","0.57","0.97","0.27"
"5581","0.51","0.97","0.32"
"5601","0.54","0.97","0.28"
"5621","0.50","0.97","0.28"
"5641","0.51","0.97","0.27"
"5661","0.48","0.97","0.30"
"5681","0.51","0.97","0.34"
"5701","0.50","0.97","0.33"
"5721","0.45","0.97","0.35"
"5741","0.39","0.96","0.36"
"5761","0.33","0.96","0.30"
"5781","0.35","0.96","0.22"
"5801","0.41","0.97","0.33"
"5821","0.39","0.96","0.27"
"5841","0.35","0.96","0.24"
"5861","0.41","0.96","0.22"
"5881","0.36","0.96","0.05"
"5901","0.38","0.96","-0.06"
"5921","0.31","0.96","-0.07"
"5941","0.34","0.97","-0.08"
"5961","0.47","0.97","0.02"
"5981","0.53","0.96","0.14"
"6001","0.49","0.96","-0.06"
"6021","0.54","0.96","-0.01"
"6041","0.53","0.96","-0.06"
"6061","0.46","0.95","-0.15"
"6081","0.45","0.95","-0.14"
"6101","0.49","0.96","-0.05"
"6121","0.55","0.95","-0.11"
"6141","0.55","0.95","-0.12"
"6161","0.53","0.96","-0.09"
"6181","0.50","0.97","-0.17"
"6201","0.44","0.96","-0.17"
"6221","0.43","0.96","-0.09"
"6241","0.41","0.95","-0.07"
"6261","0.51","0.96","0.11"
"6281","0.46","0.97","0.18"
"6301","0.36","0.97","0.18"
"6321","0.27","0.98","0.11"
"6341","0.23","0.98","0.05"
"6361","0.06","0.97","-0.10"
"6381","0.01","0.97","-0.13"
"6401","0.11","0.98","-0.06"
"6421","-0.18","0.97","-0.24"
"6441","-0.01","0.98","-0.19"
"6461","-0.15","0.97","-0.39"
"6481","0.07","0.97","-0.44"
"6501","-0.06","0.97","-0.51"
"6521","0.00","0.97","-0.52"
"6541","0.13","0.97","-0.30"
"6561","0.29","0.98","-0.11"
"6581","0.29","0.98","-0.13"
"6601","0.31","0.98","-0.09"
"6621","0.40","0.99","-0.04"
"6641","0.30","0.98","-0.09"
"6661","0.35","0.99","0.00"
"6681","0.30","0.98","-0.09"
"6701","0.44","0.98","0.08"
"6721","0.47","0.98","0.07"
"6741","0.41","0.98","-0.06"
"6761","0.35","0.98","-0.21"
"6781","0.39","0.97","-0.06"
"6801","0.43","0.97","-0.04"
"6821","0.52","0.96","0.06"
"6841","0.59","0.97","0.20"
"6861","0.56","0.96","0.09"
"6881","0.56","0.96","0.20"
"6901","0.56","0.96","0.04"
"6921","0.55","0.95","0.08"
"6941","0.58","0.95","0.29"
"6961","0.54","0.95","0.35"
"6981","0.52","0.95","0.26"
"7001","0.43","0.96","0.18"
"7021","0.35","0.96","0.13"
"7041","0.27","0.96","-0.09"
"7061","0.40","0.98","0.02"
"7081","0.41","0.98","0.01"
"7101","0.37","0.98","-0.02"
"7121","0.39","0.98","-0.06"
"7141","0.45","0.98","-0.41"
"7161","0.51","0.98","-0.40"
"7181","0.56","0.99","-0.10"
"7201","0.66","0.99","0.14"
"7221","0.62","0.98","0.19"
"7241","0.64","0.98","0.30"
"7261","0.62","0.97","0.34"
"7281","0.66","0.97","0.42"
"7301","0.70","0.97","0.47"
"7321","0.71","0.97","0.57"
"7341","0.70","0.97","0.62"
"7361","0.69","0.97","0.57"
"7381","0.71","0.97","0.52"
"7401","0.69","0.97","0.51"
"7421","0.74","0.98","0.50"
"7441","0.77","0.97","0.50"
"7461","0.77","0.96","0.45"
"7481","0.72","0.96","0.37"
"7501","0.69","0.97","0.35"
"7521","0.69","0.97","0.30"
"7541","0.68","0.97","0.29"
"7561","0.67","0.97","0.32"
"7581","0.61","0.97","0.32"
"7601","0.61","0.97","0.27"
"7621","0.57","0.96","0.29"
"7641","0.52","0.96","0.24"
"7661","0.51","0.97","0.32"
"7681","0.53","0.97","0.41"
"7701","0.56","0.97","0.44"
"7721","0.53","0.97","0.40"
"7741","0.59","0.97","0.44"
"7761","0.60","0.97","0.43"
"7781","0.61","0.97","0.45"
"7801","0.59","0.98","0.44"
"7821","0.58","0.98","0.44"
"7841","0.59","0.97","0.47"
"7861","0.60","0.97","0.45"
"7881","0.60","0.97","0.35"
"7901","0.57","0.97","0.32"
"7921","0.58","0.96","0.35"
"7941","0.51","0.95","0.32"
"7961","0.53","0.94","0.35"
"7981","0.50","0.94","0.29"
"8001","0.52","0.94","0.28"
"8021","0.57","0.94","0.32"
"8041","0.60","0.95","0.35"
"8061","0.56","0.96","0.28"
"8081","0.61","0.96","0.40"
"8101","0.60","0.96","0.33"
"8121","0.61","0.97","0.37"
"8141","0.65","0.98","0.40"
"8161","0.63","0.99","0.35"
"8181","0.72","0.99","0.44"
"8201","0.72","0.99","0.44"
"8221","0.72","0.99","0.37"
"8241","0.69","0.99","0.36"
"8261","0.73","0.98","0.41"
"8281","0.70","0.98","0.31"
"8301","0.68","0.97","0.35"
"8321","0.67","0.96","0.26"
"8341","0.66","0.96","0.19"
"8361","0.61","0.96","0.25"
"8381","0.47","0.95","0.19"
"8401","0.51","0.95","0.27"
"8421","0.45","0.95","0.32"
"8441","0.39","0.92","0.31"
"8461","0.41","0.94","0.32"
"8481","0.47","0.94","0.40"
"8501","0.48","0.94","0.42"
"8521","0.47","0.94","0.48"
"8541","0.44","0.94","0.52"
"8561","0.42","0.93","0.48"
"8581","0.46","0.93","0.47"
"8601","0.41","0.94","0.41"
"8621","0.44","0.93","0.37"
"8641","0.45","0.95","0.34"
"8661","0.44","0.94","0.35"
"8681","0.32","0.93","0.29"
"8701","0.28","0.92","0.34"
"8721","0.32","0.94","0.31"
"8741","0.26","0.94","0.22"
"8761","0.42","0.94","0.28"
"8781","0.39","0.94","0.25"
"8801","0.35","0.93","0.15"
"8821","0.32","0.93","0.15"
"8841","0.37","0.93","0.26"
"8861","0.39","0.94","0.27"
"8881","0.46","0.95","0.26"
"8901","0.52","0.96","0.15"
"8921","0.52","0.95","0.24"
"8941","0.55","0.96","0.30"
"8961","0.44","0.96","0.27"
"8981","0.49","0.95","0.30"
"9001","0.56","0.96","0.38"
"9021","0.60","0.97","0.42"
"9041","0.60","0.97","0.33"
"9061","0.48","0.97","0.25"
"9081","0.48","0.96","0.26"
"9101","0.48","0.96","0.32"
"9121","0.48","0.96","0.25"
"9141","0.50","0.95","0.23"
"9161","0.51","0.95","0.23"
"9181","0.56","0.96","0.29"
"9201","0.50","0.96","0.32"
"9221","0.46","0.96","0.22"
"9241","0.44","0.95","0.25"
"9261","0.53","0.94","0.21"
"9281","0.52","0.95","0.20"
"9301","0.53","0.96","0.20"
"9321","0.54","0.96","0.27"
"9341","0.53","0.97","0.36"
"9361","0.53","0.97","0.30"
"9381","0.51","0.96","0.24"
"9401","0.56","0.96","0.20"
"9421","0.56","0.96","0.17"
"9441","0.58","0.96","0.08"
"9461","0.58","0.97","0.05"
"9481","0.60","0.97","0.14"
"9501","0.59","0.97","0.14"
"9521","0.61","0.96","0.10"
"9541","0.64","0.96","0.05"
"9561","0.65","0.96","0.14"
"9581","0.58","0.96","0.17"
"9601","0.54","0.96","0.22"
"9621","0.60","0.96","0.34"
"9641","0.62","0.95","0.45"
"9661","0.67","0.95","0.60"
"9681","0.66","0.95","0.58"
"9701","0.65","0.94","0.61"
"9721","0.63","0.95","0.59"
"9741","0.61","0.94","0.59"
"9761","0.62","0.94","0.61"
"9781","0.68","0.95","0.61"
"9801","0.68","0.95","0.62"
"9821","0.66","0.95","0.60"
"9841","0.69","0.96","0.62"
"9861","0.65","0.95","0.56"
"9881","0.67","0.95","0.58"
"9901","0.67","0.95","0.55"
"9921","0.68","0.95","0.56"
"9941","0.69","0.95","0.60"
"9961","0.68","0.96","0.56"
"9981","0.64","0.96","0.53"
"10001","0.66","0.96","0.48"
"10021","0.63","0.96","0.46"
"10041","0.58","0.96","0.38"
"10061","0.56","0.94","0.32"
"10081","0.54","0.94","0.28"
"10101","0.59","0.95","0.34"
"10121","0.58","0.95","0.31"
"10141","0.59","0.95","0.30"
"10161","0.58","0.95","0.29"
"10181","0.64","0.95","0.34"
"10201","0.68","0.94","0.43"
"10221","0.72","0.94","0.42"
"10241","0.75","0.94","0.42"
"10261","0.78","0.96","0.48"
"10281","0.78","0.96","0.49"
"10301","0.78","0.96","0.48"
"10321","0.80","0.96","0.52"
"10341","0.79","0.96","0.47"
"10361","0.80","0.96","0.50"
"10381","0.79","0.96","0.54"
"10401","0.77","0.97","0.52"
"10421","0.70","0.96","0.51"
"10441","0.70","0.97","0.50"
"10461","0.66","0.97","0.42"
"10481","0.65","0.97","0.40"
"10501","0.60","0.97","0.34"
"10521","0.55","0.97","0.33"
"10541","0.56","0.97","0.38"
"10561","0.54","0.97","0.36"
"10581","0.51","0.97","0.24"
"10601","0.46","0.97","0.21"
"10621","0.52","0.97","0.28"
"10641","0.54","0.96","0.33"
"10661","0.55","0.95","0.42"
"10681","0.52","0.94","0.43"
"10701","0.52","0.95","0.45"
"10721","0.54","0.95","0.40"
"10741","0.48","0.95","0.30"
"10761","0.44","0.95","0.30"
"10781","0.48","0.95","0.33"
"10801","0.47","0.95","0.28"
"10821","0.42","0.95","0.19"
"10841","0.36","0.96","0.13"
"10861","0.35","0.96","0.06"
"10881","0.41","0.97","0.02"
"10901","0.40","0.96","0.02"
"10921","0.44","0.96","0.02"
"10941","0.44","0.95","-0.04"
"10961","0.43","0.95","-0.12"
"10981","0.41","0.96","-0.22"
"11001","0.43","0.96","-0.14"
"11021","0.45","0.96","-0.08"
"11041","0.38","0.96","-0.22"
"11061","0.37","0.96","-0.31"
"11081","0.36","0.96","-0.29"
"11101","0.44","0.97","-0.25"
"11121","0.39","0.96","-0.22"
"11141","0.38","0.96","0.01"
"11161","0.43","0.95","0.06"
"11181","0.45","0.94","0.18"
"11201","0.52","0.94","0.25"
"11221","0.58","0.94","0.31"
"11241","0.61","0.94","0.41"
"11261","0.62","0.94","0.39"
"11281","0.61","0.94","0.35"
"11301","0.53","0.94","0.24"
"11321","0.49","0.94","0.25"
"11341","0.52","0.96","0.26"
"11361","0.59","0.96","0.32"
"11381","0.56","0.98","0.25"
"11401","0.55","0.98","0.20"
"11421","0.50","0.98","0.13"
"11441","0.56","0.98","0.21"
"11461","0.58","0.97","0.31"
"11481","0.57","0.96","0.43"
"11501","0.64","0.96","0.53"
"11521","0.69","0.97","0.54"
"11541","0.74","0.96","0.50"
"11561","0.68","0.96","0.49"
"11581","0.70","0.96","0.53"
"11601","0.70","0.96","0.55"
"11621","0.69","0.96","0.58"
"11641","0.71","0.97","0.55"
"11661","0.73","0.96","0.54"
"11681","0.74","0.97","0.54"
"11701","0.73","0.97","0.50"
"11721","0.74","0.96","0.53"
"11741","0.71","0.96","0.57"
"11761","0.78","0.96","0.58"
"11781","0.78","0.96","0.60"
"11801","0.76","0.96","0.55"
"11821","0.77","0.96","0.52"
"11841","0.75","0.95","0.54"
"11861","0.76","0.96","0.54"
"11881","0.77","0.95","0.52"
"11901","0.80","0.95","0.52"
"11921","0.80","0.96","0.52"
"11941","0.82","0.96","0.51"
"11961","0.80","0.95","0.52"
"11981","0.76","0.95","0.49"
"12001","0.77","0.95","0.57"
"12021","0.79","0.94","0.57"
"12041","0.79","0.95","0.57"
"12061","0.79","0.95","0.59"
"12081","0.80","0.96","0.60"
"12101","0.80","0.97","0.61"
"12121","0.77","0.97","0.58"
"12141","0.76","0.97","0.61"
"12161","0.75","0.98","0.59"
"12181","0.79","0.98","0.63"
"12201","0.78","0.98","0.57"
"12221","0.72","0.99","0.51"
"12241","0.69","0.99","0.43"
"12261","0.67","0.98","0.40"
"12281","0.66","0.98","0.39"
"12301","0.64","0.97","0.46"
"12321","0.66","0.97","0.44"
"12341","0.65","0.97","0.39"
"12361","0.67","0.97","0.41"
"12381","0.66","0.97","0.38"
"12401","0.70","0.97","0.44"
"12421","0.76","0.97","0.52"
"12441","0.79","0.97","0.56"
"12461","0.80","0.97","0.58"
"12481","0.78","0.97","0.53"
"12501","0.77","0.98","0.49"
"12521","0.74","0.98","0.47"
"12541","0.76","0.98","0.54"
"12561","0.70","0.98","0.49"
"12581","0.66","0.97","0.50"
"12601","0.60","0.97","0.46"
"12621","0.58","0.97","0.48"
"12641","0.58","0.98","0.51"
"12661","0.58","0.98","0.55"
"12681","0.60","0.98","0.62"
"12701","0.61","0.98","0.60"
"12721","0.63","0.97","0.61"
"12741","0.60","0.97","0.58"
"12761","0.65","0.97","0.63"
"12781","0.70","0.97","0.61"
"12801","0.75","0.98","0.64"
"12821","0.77","0.98","0.64"
"12841","0.77","0.97","0.67"
"12861","0.77","0.97","0.66"
"12881","0.75","0.97","0.65"
"12901","0.77","0.96","0.69"
"12921","0.79","0.97","0.70"
"12941","0.79","0.96","0.73"
"12961","0.80","0.96","0.76"
"12981","0.80","0.96","0.78"
"13001","0.76","0.95","0.75"
"13021","0.74","0.95","0.76"
"13041","0.74","0.95","0.72"
"13061","0.74","0.96","0.72"
"13081","0.76","0.95","0.71"
"13101","0.74","0.95","0.69"
"13121","0.76","0.95","0.71"
"13141","0.79","0.96","0.67"
"13161","0.79","0.96","0.58"
"13181","0.77","0.96","0.57"
"13201","0.82","0.97","0.62"
"13221","0.84","0.97","0.64"
"13241","0.83","0.97","0.63"
"13261","0.84","0.97","0.61"
"13281","0.86","0.97","0.60"
"13301","0.86","0.97","0.63"
"13321","0.84","0.97","0.61"
"13341","0.82","0.97","0.62"
"13361","0.81","0.98","0.66"
"13381","0.81","0.98","0.66"
"13401","0.78","0.98","0.64"
"13421","0.76","0.98","0.59"
"13441","0.76","0.98","0.53"
"13461","0.73","0.98","0.57"
"13481","0.71","0.98","0.57"
"13501","0.68","0.99","0.54"
"13521","0.67","0.99","0.54"
"13541","0.66","0.99","0.55"
"13561","0.67","0.98","0.54"
"13581","0.68","0.98","0.51"
"13601","0.65","0.99","0.48"
"13621","0.60","0.99","0.43"
"13641","0.65","0.99","0.49"
"13661","0.68","0.98","0.52"
"13681","0.68","0.98","0.52"
"13701","0.71","0.98","0.57"
"13721","0.70","0.97","0.53"
"13741","0.69","0.97","0.49"
"13761","0.68","0.97","0.52"
"13781","0.68","0.97","0.56"
"13801","0.70","0.96","0.59"
"13821","0.76","0.96","0.68"
"13841","0.73","0.96","0.65"
"13861","0.73","0.96","0.63"
"13881","0.74","0.96","0.64"
"13901","0.75","0.96","0.62"
"13921","0.76","0.95","0.66"
"13941","0.76","0.95","0.67"
"13961","0.77","0.95","0.66"
"13981","0.76","0.94","0.65"
"14001","0.74","0.95","0.66"
"14021","0.69","0.95","0.62"
"14041","0.71","0.96","0.66"
"14061","0.73","0.96","0.65"
"14081","0.72","0.97","0.66"
"14101","0.72","0.96","0.69"
"14121","0.73","0.98","0.68"
"14141","0.75","0.97","0.67"
"14161","0.75","0.97","0.67"
"14181","0.78","0.97","0.70"
"14201","0.82","0.97","0.69"
"14221","0.85","0.97","0.70"
"14241","0.82","0.97","0.72"
"14261","0.80","0.96","0.69"
"14281","0.78","0.96","0.67"
"14301","0.78","0.96","0.68"
"14321","0.76","0.96","0.66"
"14341","0.75","0.97","0.67"
"14361","0.78","0.97","0.68"
"14381","0.77","0.97","0.66"
"14401","0.76","0.97","0.65"
"14421","0.77","0.97","0.63"
"14441","0.78","0.96","0.61"
"14461","0.79","0.96","0.64"
"14481","0.83","0.96","0.63"
"14501","0.83","0.97","0.61"
"14521","0.84","0.97","0.63"
"14541","0.87","0.97","0.64"
"14561","0.86","0.97","0.67"
"14581","0.84","0.98","0.62"
"14601","0.84","0.98","0.64"
"14621","0.81","0.98","0.63"
"14641","0.83","0.97","0.62"
"14661","0.85","0.97","0.64"
"14681","0.81","0.97","0.67"
"14701","0.80","0.96","0.69"
"14721","0.77","0.95","0.67"
"14741","0.73","0.95","0.69"
"14761","0.74","0.95","0.67"
"14781","0.75","0.95","0.72"
"14801","0.76","0.96","0.73"
"14821","0.76","0.96","0.73"
"14841","0.75","0.97","0.74"
"14861","0.74","0.97","0.72"
"14881","0.77","0.97","0.72"
