FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\AAAlignmentNoInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a_-_NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b_-_NC_048212_1_Eidolon_helvum_Cameroon_-_S_-_NC_048212_1_Eidolon_helvum_Cameroon_-_NS3_-_NC_048212_1_Eidolon_helvum_Cameroon_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1a_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1b_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_S_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_NS3_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_S_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"


"CenterPos","Eidolon_helvum","Pteropus_rufus","HKU9"
"5061","1.00","0.90","0.96"
"5081","1.00","0.88","0.96"
"5101","1.00","0.87","0.94"
"5121","1.00","0.87","0.94"
"5141","1.00","0.86","0.93"
"5161","1.00","0.89","0.92"
"5181","1.00","0.92","0.93"
"5201","1.00","0.91","0.94"
"5221","1.00","0.88","0.94"
"5241","1.00","0.88","0.94"
"5261","1.00","0.84","0.93"
"5281","1.00","0.86","0.93"
"5301","1.00","0.88","0.94"
"5321","1.00","0.86","0.94"
"5341","1.00","0.87","0.94"
"5361","1.00","0.85","0.95"
"5381","1.00","0.83","0.95"
"5401","1.00","0.80","0.94"
"5421","1.00","0.84","0.95"
"5441","1.00","0.83","0.94"
"5461","1.00","0.88","0.95"
"5481","1.00","0.87","0.95"
"5501","1.00","0.85","0.93"
"5521","1.00","0.88","0.93"
"5541","1.00","0.89","0.96"
"5561","1.00","0.89","0.96"
"5581","1.00","0.87","0.96"
"5601","1.00","0.90","0.97"
"5621","1.00","0.89","0.97"
"5641","1.00","0.89","0.96"
"5661","1.00","0.87","0.96"
"5681","1.00","0.86","0.96"
"5701","1.00","0.89","0.96"
"5721","1.00","0.87","0.96"
"5741","1.00","0.87","0.96"
"5761","1.00","0.89","0.93"
"5781","1.00","0.91","0.93"
"5801","1.00","0.91","0.94"
"5821","1.00","0.92","0.94"
"5841","1.00","0.93","0.96"
"5861","1.00","0.93","0.94"
"5881","1.00","0.93","0.93"
"5901","1.00","0.92","0.94"
"5921","1.00","0.92","0.91"
"5941","1.00","0.93","0.92"
"5961","1.00","0.92","0.95"
"5981","1.00","0.93","0.95"
"6001","1.00","0.92","0.94"
"6021","1.00","0.93","0.94"
"6041","1.00","0.91","0.94"
"6061","1.00","0.89","0.95"
"6081","1.00","0.89","0.94"
"6101","1.00","0.87","0.93"
"6121","1.00","0.89","0.96"
"6141","1.00","0.88","0.93"
"6161","1.00","0.89","0.93"
"6181","1.00","0.86","0.93"
"6201","1.00","0.81","0.93"
"6221","1.00","0.80","0.93"
"6241","1.00","0.79","0.91"
"6261","1.00","0.82","0.90"
"6281","1.00","0.82","0.91"
"6301","1.00","0.85","0.91"
"6321","1.00","0.83","0.91"
"6341","1.00","0.84","0.94"
"6361","1.00","0.80","0.94"
"6381","1.00","0.83","0.94"
"6401","1.00","0.89","0.94"
"6421","1.00","0.85","0.90"
"6441","1.00","0.88","0.90"
"6461","1.00","0.86","0.90"
"6481","1.00","0.83","0.89"
"6501","0.99","0.83","0.89"
"6521","0.99","0.85","0.87"
"6541","0.99","0.79","0.81"
"6561","0.99","0.77","0.82"
"6581","0.99","0.71","0.79"
"6601","0.99","0.71","0.82"
"6621","0.99","0.71","0.85"
"6641","0.99","0.70","0.86"
"6661","0.99","0.71","0.88"
"6681","0.99","0.80","0.90"
"6701","1.00","0.80","0.90"
"6721","1.00","0.77","0.90"
"6741","1.00","0.80","0.94"
"6761","1.00","0.85","0.92"
"6781","1.00","0.90","0.95"
"6801","1.00","0.91","0.94"
"6821","1.00","0.91","0.93"
"6841","1.00","0.90","0.93"
"6861","1.00","0.89","0.93"
"6881","1.00","0.88","0.93"
"6901","0.99","0.85","0.92"
"6921","0.99","0.88","0.94"
"6941","0.99","0.88","0.94"
"6961","0.99","0.88","0.94"
"6981","0.99","0.88","0.94"
"7001","0.99","0.88","0.94"
"7021","0.99","0.88","0.94"
"7041","0.99","0.88","0.94"
"7061","0.99","0.88","0.94"
"7081","0.99","0.88","0.94"
"7101","0.99","0.88","0.94"
"7121","0.99","0.88","0.94"
"7141","0.99","0.88","0.94"
"7161","0.99","0.88","0.94"
"7181","0.99","0.88","0.94"
"7201","0.99","0.88","0.94"
"7221","0.99","0.88","0.94"
"7241","0.99","0.88","0.94"
"7261","0.99","0.88","0.94"
"7281","0.99","0.88","0.94"
"7301","0.99","0.88","0.94"
"7321","0.99","0.88","0.94"
"7341","0.99","0.88","0.94"
"7361","0.99","0.88","0.94"
"7381","0.99","0.88","0.94"
"7401","0.99","0.88","0.94"
"7421","0.99","0.88","0.94"
"7441","0.99","0.88","0.94"
"7461","0.99","0.88","0.94"
"7481","0.99","0.88","0.94"
"7501","0.99","0.88","0.94"
"7521","0.99","0.88","0.94"
"7541","0.99","0.88","0.94"
"7561","0.66","0.69","0.67"
"7581","0.66","0.69","0.67"
"7601","0.75","0.77","0.73"
"7621","0.75","0.77","0.73"
"7641","0.75","0.77","0.73"
"7661","0.75","0.77","0.73"
"7681","0.75","0.77","0.73"
"7701","0.75","0.77","0.73"
"7721","0.75","0.77","0.73"
"7741","0.75","0.77","0.73"
"7761","0.75","0.77","0.73"
"7781","0.75","0.77","0.73"
"7801","0.75","0.77","0.73"
"7821","0.81","0.68","0.69"
"7841","0.88","0.73","0.68"
"7861","0.90","0.73","0.70"
"7881","0.91","0.73","0.70"
"7901","0.94","0.72","0.73"
"7921","0.96","0.81","0.73"
"7941","0.95","0.84","0.77"
"7961","0.96","0.87","0.77"
"7981","0.96","0.85","0.79"
"8001","0.97","0.87","0.82"
"8021","0.96","0.88","0.83"
"8041","0.96","0.92","0.88"
"8061","0.95","0.91","0.88"
"8081","0.92","0.87","0.88"
"8101","0.91","0.86","0.85"
"8121","0.93","0.83","0.86"
"8141","0.87","0.82","0.79"
"8161","0.87","0.82","0.79"
"8181","0.87","0.82","0.79"
"8201","0.89","0.86","0.77"
"8221","0.91","0.84","0.81"
"8241","0.91","0.84","0.81"
"8261","0.91","0.84","0.81"
"8281","0.91","0.84","0.81"
"8301","0.91","0.84","0.81"
"8321","0.91","0.84","0.81"
"8341","0.91","0.84","0.81"
"8361","0.91","0.84","0.81"
"8381","0.91","0.84","0.81"
"8401","0.91","0.84","0.81"
"8421","0.91","0.84","0.81"
"8441","0.91","0.84","0.81"
"8461","0.91","0.84","0.81"
"8481","0.91","0.84","0.81"
"8501","0.91","0.84","0.81"
"8521","0.91","0.84","0.81"
"8541","0.91","0.84","0.81"
"8561","0.91","0.84","0.81"
"8581","0.91","0.84","0.81"
"8601","0.91","0.84","0.81"
"8621","0.91","0.84","0.81"
"8641","0.91","0.84","0.81"
"8661","0.91","0.84","0.81"
"8681","0.91","0.84","0.81"
"8701","0.91","0.84","0.81"
"8721","0.91","0.84","0.81"
"8741","0.91","0.84","0.81"
"8761","0.99","0.72","0.81"
"8781","0.99","0.72","0.78"
"8801","1.00","0.72","0.79"
"8821","1.00","0.71","0.78"
"8841","1.00","0.71","0.78"
"8861","1.00","0.71","0.78"
"8881","1.00","0.71","0.78"
"8901","1.00","0.71","0.78"
"8921","1.00","0.71","0.78"
"8941","1.00","0.71","0.78"
"8961","1.00","0.71","0.78"
"8981","1.00","0.71","0.78"
"9001","0.95","0.85","0.85"
"9021","0.95","0.83","0.83"
"9041","0.96","0.84","0.86"
"9061","0.94","0.83","0.83"
"9081","0.96","0.85","0.85"
"9101","0.99","0.87","0.88"
"9121","0.99","0.85","0.86"
"9141","0.97","0.83","0.84"
"9161","0.97","0.87","0.88"
"9181","0.97","0.87","0.88"
"9201","0.97","0.87","0.88"
"9221","0.97","0.87","0.88"
"9241","0.97","0.87","0.88"
"9261","0.97","0.87","0.88"
"9281","0.97","0.87","0.88"
"9301","0.97","0.87","0.88"
"9321","0.97","0.87","0.88"
"9341","0.97","0.87","0.88"
"9361","0.97","0.87","0.88"
"9381","0.97","0.87","0.88"
"9401","0.97","0.87","0.88"
"9421","0.97","0.87","0.88"
"9441","0.97","0.87","0.88"
"9461","0.97","0.87","0.88"
"9481","0.97","0.87","0.88"
"9501","0.97","0.87","0.88"
"9521","0.97","0.87","0.88"
"9541","0.97","0.87","0.88"
"9561","0.97","0.87","0.88"
"9581","0.97","0.87","0.88"
"9601","0.97","0.87","0.88"
"9621","0.97","0.87","0.88"
"9641","0.97","0.87","0.88"
"9661","0.97","0.87","0.88"
"9681","0.97","0.87","0.88"
"9701","0.97","0.87","0.88"
"9721","0.97","0.87","0.88"
