FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\ORF1a_Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1a","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1a"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1a"
"Query","Pteropus_rufus"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1a"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a"


"CenterPos","Rousettus_madagascariensis","Eidolon_helvum","GX2018-BtCoV92","GCCDC1","HKU9"
"1341","0.66","0.66","0.71","0.67","0.73"
"1361","0.66","0.66","0.71","0.67","0.73"
"1381","0.66","0.66","0.71","0.67","0.73"
"1401","0.66","0.66","0.71","0.67","0.73"
"1421","0.66","0.66","0.71","0.67","0.73"
"1441","0.66","0.66","0.71","0.67","0.73"
"1461","0.66","0.66","0.71","0.67","0.73"
"1481","0.66","0.66","0.71","0.67","0.73"
"1501","0.66","0.66","0.71","0.67","0.73"
"1521","0.66","0.66","0.71","0.67","0.73"
"1541","0.66","0.66","0.71","0.67","0.73"
"1561","0.66","0.66","0.71","0.67","0.73"
"1581","0.66","0.66","0.71","0.67","0.73"
"1601","0.66","0.66","0.71","0.67","0.73"
"1621","0.66","0.66","0.71","0.67","0.73"
"1641","0.66","0.66","0.71","0.67","0.73"
"1661","0.66","0.66","0.71","0.67","0.73"
"1681","0.66","0.66","0.71","0.67","0.73"
"1701","0.66","0.66","0.71","0.67","0.73"
"1721","0.66","0.66","0.71","0.67","0.73"
"1741","0.69","0.66","0.58","0.63","0.55"
"1761","0.68","0.65","0.56","0.60","0.53"
"1781","0.69","0.68","0.59","0.60","0.56"
"1801","0.73","0.72","0.62","0.63","0.63"
"1821","0.73","0.75","0.72","0.63","0.71"
"1841","0.69","0.71","0.67","0.58","0.66"
"1861","0.73","0.75","0.65","0.59","0.62"
"1881","0.70","0.72","0.61","0.57","0.59"
"1901","0.60","0.62","0.61","0.48","0.52"
"1921","0.60","0.62","0.61","0.48","0.52"
"1941","0.60","0.62","0.61","0.48","0.52"
"1961","0.60","0.62","0.61","0.48","0.52"
"1981","0.60","0.62","0.61","0.48","0.52"
"2001","0.60","0.62","0.61","0.48","0.52"
"2021","0.60","0.62","0.61","0.48","0.52"
"2041","0.60","0.62","0.61","0.48","0.52"
"2061","0.60","0.62","0.61","0.48","0.52"
"2081","0.60","0.62","0.61","0.48","0.52"
"2101","0.60","0.62","0.61","0.48","0.52"
"2121","0.60","0.62","0.61","0.48","0.52"
"2141","0.60","0.62","0.61","0.48","0.52"
"2161","0.60","0.62","0.61","0.48","0.52"
"2181","0.60","0.62","0.61","0.48","0.52"
"2201","0.60","0.62","0.61","0.48","0.52"
"2221","0.60","0.62","0.61","0.48","0.52"
"2241","0.60","0.62","0.61","0.48","0.52"
"2261","0.60","0.62","0.61","0.48","0.52"
"2281","0.60","0.62","0.61","0.48","0.52"
"2301","0.60","0.62","0.61","0.48","0.52"
"2321","0.60","0.62","0.61","0.48","0.52"
"2341","0.80","0.80","0.86","0.83","0.84"
"2361","0.80","0.80","0.86","0.83","0.84"
"2381","0.80","0.80","0.86","0.86","0.86"
"2401","0.78","0.78","0.84","0.82","0.82"
"2421","0.72","0.72","0.80","0.82","0.78"
"2441","0.76","0.77","0.81","0.81","0.80"
"2461","0.75","0.75","0.84","0.78","0.78"
"2481","0.72","0.72","0.85","0.77","0.79"
"2501","0.70","0.71","0.78","0.72","0.71"
"2521","0.71","0.71","0.81","0.74","0.74"
"2541","0.73","0.73","0.78","0.68","0.70"
"2561","0.71","0.71","0.76","0.69","0.70"
"2581","0.70","0.70","0.73","0.67","0.67"
"2601","0.70","0.70","0.75","0.73","0.74"
"2621","0.78","0.78","0.79","0.78","0.79"
"2641","0.74","0.75","0.77","0.79","0.78"
"2661","0.73","0.75","0.74","0.81","0.78"
"2681","0.77","0.79","0.72","0.83","0.77"
"2701","0.80","0.80","0.77","0.89","0.81"
"2721","0.82","0.82","0.74","0.86","0.81"
"2741","0.80","0.80","0.77","0.88","0.81"
"2761","0.76","0.76","0.66","0.78","0.69"
"2781","0.76","0.76","0.66","0.78","0.69"
"2801","0.71","0.72","0.55","0.67","0.62"
"2821","0.63","0.63","0.45","0.57","0.55"
"2841","0.63","0.63","0.45","0.57","0.55"
"2861","0.68","0.66","0.49","0.62","0.60"
"2881","0.68","0.66","0.57","0.60","0.67"
"2901","0.64","0.64","0.61","0.56","0.68"
"2921","0.62","0.62","0.62","0.57","0.70"
"2941","0.61","0.62","0.60","0.58","0.69"
"2961","0.63","0.64","0.67","0.64","0.75"
"2981","0.63","0.64","0.67","0.64","0.75"
"3001","0.63","0.64","0.67","0.64","0.75"
"3021","0.63","0.64","0.67","0.64","0.75"
"3041","0.63","0.64","0.67","0.64","0.75"
"3061","0.63","0.64","0.67","0.64","0.75"
"3081","0.63","0.64","0.67","0.64","0.75"
"3101","0.63","0.64","0.67","0.64","0.75"
"3121","0.70","0.70","0.67","0.73","0.63"
"3141","0.70","0.70","0.65","0.72","0.62"
"3161","0.74","0.74","0.73","0.79","0.69"
"3181","0.81","0.81","0.78","0.82","0.76"
"3201","0.81","0.81","0.82","0.85","0.79"
"3221","0.85","0.85","0.84","0.88","0.81"
"3241","0.81","0.81","0.78","0.83","0.78"
"3261","0.86","0.86","0.80","0.83","0.79"
"3281","0.83","0.83","0.79","0.80","0.79"
"3301","0.83","0.83","0.80","0.80","0.80"
"3321","0.84","0.84","0.82","0.79","0.82"
"3341","0.86","0.86","0.86","0.81","0.85"
"3361","0.84","0.84","0.85","0.79","0.85"
"3381","0.77","0.77","0.85","0.78","0.85"
"3401","0.76","0.76","0.80","0.75","0.80"
"3421","0.67","0.67","0.77","0.69","0.77"
"3441","0.74","0.74","0.83","0.76","0.83"
"3461","0.73","0.72","0.84","0.77","0.82"
"3481","0.73","0.72","0.84","0.77","0.82"
"3501","0.73","0.72","0.84","0.77","0.82"
"3521","0.73","0.72","0.84","0.77","0.82"
"3541","0.73","0.72","0.84","0.77","0.82"
"3561","0.73","0.72","0.84","0.77","0.82"
"3581","0.73","0.72","0.84","0.77","0.82"
"3601","0.73","0.72","0.84","0.77","0.82"
"3621","0.73","0.72","0.84","0.77","0.82"
"3641","0.73","0.72","0.84","0.77","0.82"
"3661","0.73","0.72","0.84","0.77","0.82"
"3681","0.73","0.72","0.84","0.77","0.82"
"3701","0.57","0.54","0.68","0.56","0.69"
"3721","0.57","0.54","0.68","0.56","0.69"
"3741","0.67","0.64","0.70","0.61","0.69"
"3761","0.66","0.64","0.72","0.60","0.68"
"3781","0.68","0.66","0.69","0.64","0.65"
"3801","0.76","0.75","0.77","0.74","0.73"
"3821","0.76","0.75","0.77","0.74","0.73"
"3841","0.72","0.72","0.75","0.73","0.70"
"3861","0.72","0.72","0.78","0.76","0.75"
"3881","0.75","0.75","0.81","0.79","0.78"
"3901","0.74","0.74","0.81","0.77","0.79"
"3921","0.71","0.71","0.78","0.77","0.76"
"3941","0.74","0.74","0.82","0.78","0.80"
"3961","0.73","0.73","0.79","0.77","0.78"
"3981","0.73","0.73","0.82","0.80","0.82"
"4001","0.69","0.69","0.78","0.76","0.78"
"4021","0.69","0.69","0.78","0.76","0.78"
"4041","0.66","0.66","0.76","0.71","0.76"
"4061","0.67","0.67","0.73","0.70","0.72"
"4081","0.67","0.67","0.73","0.72","0.72"
"4101","0.69","0.69","0.73","0.72","0.70"
"4121","0.72","0.72","0.76","0.75","0.73"
"4141","0.69","0.69","0.73","0.70","0.70"
"4161","0.75","0.75","0.79","0.76","0.74"
"4181","0.79","0.79","0.81","0.77","0.76"
"4201","0.81","0.81","0.83","0.79","0.79"
"4221","0.84","0.84","0.87","0.82","0.81"
"4241","0.89","0.89","0.90","0.88","0.85"
"4261","0.89","0.89","0.93","0.89","0.88"
