FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\ORF1b_Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_ORF1b","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_ORF1b"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1b"
"Query","Pteropus_rufus"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1b"


"CenterPos","Rousettus_madagascariensis","Eidolon_helvum","GX2018-BtCoV92","HKU9","GCCDC1"
"821","0.84","0.84","0.89","0.93","0.89"
"841","0.89","0.89","0.89","0.91","0.91"
"861","0.90","0.90","0.91","0.92","0.91"
"881","0.91","0.91","0.92","0.92","0.90"
"901","0.89","0.89","0.92","0.92","0.88"
"921","0.88","0.88","0.91","0.91","0.89"
"941","0.86","0.86","0.90","0.90","0.87"
"961","0.85","0.85","0.90","0.90","0.89"
"981","0.86","0.86","0.90","0.90","0.89"
"1001","0.87","0.87","0.91","0.90","0.89"
"1021","0.90","0.90","0.91","0.90","0.91"
"1041","0.85","0.85","0.91","0.91","0.89"
"1061","0.84","0.84","0.90","0.90","0.89"
"1081","0.82","0.82","0.87","0.87","0.87"
"1101","0.82","0.82","0.87","0.88","0.83"
"1121","0.84","0.84","0.87","0.89","0.84"
"1141","0.85","0.85","0.88","0.89","0.85"
"1161","0.88","0.88","0.89","0.91","0.84"
"1181","0.87","0.87","0.87","0.91","0.82"
"1201","0.87","0.87","0.85","0.91","0.83"
"1221","0.88","0.88","0.86","0.92","0.85"
"1241","0.89","0.89","0.86","0.90","0.84"
"1261","0.85","0.85","0.81","0.86","0.79"
"1281","0.88","0.88","0.85","0.90","0.83"
"1301","0.90","0.90","0.87","0.90","0.88"
"1321","0.88","0.88","0.85","0.88","0.89"
"1341","0.87","0.87","0.84","0.86","0.89"
"1361","0.87","0.87","0.85","0.87","0.90"
"1381","0.86","0.86","0.83","0.83","0.88"
"1401","0.89","0.89","0.87","0.85","0.90"
"1421","0.85","0.85","0.82","0.81","0.88"
"1441","0.87","0.87","0.84","0.82","0.90"
"1461","0.91","0.91","0.89","0.87","0.94"
"1481","0.89","0.89","0.87","0.84","0.92"
"1501","0.89","0.89","0.87","0.84","0.92"
"1521","0.91","0.91","0.91","0.88","0.91"
"1541","0.93","0.93","0.91","0.90","0.91"
"1561","0.89","0.89","0.85","0.84","0.85"
"1581","0.90","0.90","0.88","0.87","0.88"
"1601","0.88","0.88","0.88","0.86","0.87"
"1621","0.91","0.91","0.88","0.86","0.87"
"1641","0.91","0.91","0.86","0.86","0.85"
"1661","0.91","0.92","0.87","0.87","0.83"
"1681","0.92","0.92","0.89","0.88","0.83"
"1701","0.92","0.92","0.89","0.89","0.85"
"1721","0.92","0.92","0.89","0.89","0.86"
"1741","0.89","0.89","0.85","0.85","0.83"
"1761","0.92","0.92","0.90","0.90","0.86"
"1781","0.89","0.89","0.89","0.89","0.86"
"1801","0.90","0.90","0.88","0.88","0.84"
"1821","0.89","0.89","0.91","0.93","0.87"
"1841","0.91","0.91","0.94","0.96","0.90"
"1861","0.87","0.87","0.92","0.94","0.91"
"1881","0.84","0.85","0.89","0.91","0.90"
"1901","0.81","0.81","0.86","0.88","0.87"
"1921","0.81","0.81","0.86","0.88","0.87"
"1941","0.81","0.81","0.87","0.90","0.89"
"1961","0.80","0.80","0.83","0.87","0.89"
"1981","0.83","0.83","0.83","0.85","0.85"
"2001","0.82","0.82","0.81","0.83","0.85"
"2021","0.84","0.84","0.81","0.83","0.85"
"2041","0.82","0.82","0.78","0.80","0.83"
"2061","0.83","0.83","0.72","0.75","0.83"
"2081","0.87","0.87","0.74","0.78","0.84"
"2101","0.89","0.89","0.75","0.78","0.86"
"2121","0.85","0.85","0.71","0.75","0.81"
"2141","0.87","0.88","0.71","0.76","0.80"
"2161","0.87","0.87","0.70","0.75","0.81"
"2181","0.87","0.87","0.70","0.75","0.81"
"2201","0.87","0.87","0.70","0.75","0.81"
"2221","0.87","0.87","0.70","0.75","0.81"
"2241","0.78","0.78","0.65","0.64","0.82"
"2261","0.78","0.78","0.65","0.64","0.82"
"2281","0.76","0.76","0.72","0.71","0.83"
"2301","0.75","0.75","0.73","0.72","0.81"
"2321","0.75","0.75","0.72","0.69","0.81"
"2341","0.74","0.74","0.73","0.69","0.83"
"2361","0.79","0.78","0.80","0.74","0.82"
"2381","0.83","0.83","0.79","0.78","0.81"
"2401","0.79","0.79","0.73","0.72","0.75"
"2421","0.82","0.82","0.79","0.80","0.77"
"2441","0.88","0.88","0.84","0.85","0.81"
"2461","0.91","0.91","0.82","0.84","0.82"
"2481","0.92","0.92","0.83","0.85","0.83"
"2501","0.91","0.91","0.81","0.85","0.84"
"2521","0.93","0.93","0.81","0.88","0.86"
"2541","0.93","0.93","0.82","0.88","0.87"
"2561","0.92","0.92","0.79","0.87","0.84"
"2581","0.89","0.90","0.80","0.86","0.85"
