CenterPos,Eidolon_helvum,GX2018-BtCoV92,HKU9,GCCDC1,Alternate,Alternate_ID,Query
701,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
721,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
741,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
761,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
781,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
801,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
821,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
841,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
861,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
881,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
901,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
921,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
941,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
961,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
981,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1001,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1021,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1041,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1061,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1081,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1101,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1121,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1141,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1161,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1181,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1201,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1221,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1241,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1261,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1281,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1301,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1321,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1341,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1361,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1381,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1401,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1421,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1441,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1461,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1481,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1501,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1521,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1541,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1561,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1581,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1601,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1621,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1641,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1661,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1681,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1701,1,0.79,0.8,0.86,0.66,Pteropus_rufus,Rousettus_madagascariensis
1721,0.99,0.79,0.83,0.8,0.75,Pteropus_rufus,Rousettus_madagascariensis
1741,0.99,0.78,0.82,0.82,0.7,Pteropus_rufus,Rousettus_madagascariensis
1761,0.99,0.78,0.83,0.8,0.68,Pteropus_rufus,Rousettus_madagascariensis
1781,0.99,0.77,0.86,0.81,0.69,Pteropus_rufus,Rousettus_madagascariensis
1801,1,0.81,0.88,0.81,0.73,Pteropus_rufus,Rousettus_madagascariensis
1821,1,0.81,0.87,0.79,0.73,Pteropus_rufus,Rousettus_madagascariensis
1841,1,0.78,0.84,0.81,0.71,Pteropus_rufus,Rousettus_madagascariensis
1861,1,0.75,0.83,0.77,0.73,Pteropus_rufus,Rousettus_madagascariensis
1881,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
1901,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
1921,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
1941,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
1961,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
1981,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2001,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2021,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2041,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2061,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2081,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2101,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2121,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2141,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2161,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2181,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2201,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2221,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2241,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2261,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2281,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2301,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2321,1,0.78,0.83,0.8,0.69,Pteropus_rufus,Rousettus_madagascariensis
2341,1,0.9,0.91,0.89,0.77,Pteropus_rufus,Rousettus_madagascariensis
2361,1,0.93,0.93,0.91,0.8,Pteropus_rufus,Rousettus_madagascariensis
2381,1,0.93,0.91,0.91,0.8,Pteropus_rufus,Rousettus_madagascariensis
2401,1,0.91,0.89,0.89,0.8,Pteropus_rufus,Rousettus_madagascariensis
2421,1,0.89,0.87,0.89,0.75,Pteropus_rufus,Rousettus_madagascariensis
2441,1,0.86,0.83,0.83,0.76,Pteropus_rufus,Rousettus_madagascariensis
2461,1,0.89,0.84,0.84,0.78,Pteropus_rufus,Rousettus_madagascariensis
2481,1,0.88,0.83,0.79,0.75,Pteropus_rufus,Rousettus_madagascariensis
2501,1,0.84,0.81,0.75,0.69,Pteropus_rufus,Rousettus_madagascariensis
2521,1,0.82,0.78,0.67,0.72,Pteropus_rufus,Rousettus_madagascariensis
2541,1,0.83,0.81,0.69,0.73,Pteropus_rufus,Rousettus_madagascariensis
2561,1,0.81,0.79,0.65,0.73,Pteropus_rufus,Rousettus_madagascariensis
2581,1,0.81,0.74,0.63,0.71,Pteropus_rufus,Rousettus_madagascariensis
2601,1,0.81,0.74,0.63,0.68,Pteropus_rufus,Rousettus_madagascariensis
2621,1,0.82,0.77,0.67,0.75,Pteropus_rufus,Rousettus_madagascariensis
2641,1,0.85,0.83,0.75,0.75,Pteropus_rufus,Rousettus_madagascariensis
2661,0.99,0.83,0.8,0.73,0.7,Pteropus_rufus,Rousettus_madagascariensis
2681,0.99,0.82,0.81,0.79,0.75,Pteropus_rufus,Rousettus_madagascariensis
2701,0.97,0.84,0.81,0.82,0.78,Pteropus_rufus,Rousettus_madagascariensis
2721,0.97,0.83,0.81,0.85,0.82,Pteropus_rufus,Rousettus_madagascariensis
2741,0.97,0.81,0.79,0.85,0.8,Pteropus_rufus,Rousettus_madagascariensis
2761,0.97,0.77,0.74,0.82,0.78,Pteropus_rufus,Rousettus_madagascariensis
2781,0.97,0.75,0.78,0.8,0.75,Pteropus_rufus,Rousettus_madagascariensis
2801,0.97,0.73,0.76,0.8,0.74,Pteropus_rufus,Rousettus_madagascariensis
2821,0.97,0.71,0.72,0.76,0.66,Pteropus_rufus,Rousettus_madagascariensis
2841,0.97,0.66,0.67,0.73,0.6,Pteropus_rufus,Rousettus_madagascariensis
2861,0.98,0.62,0.68,0.75,0.63,Pteropus_rufus,Rousettus_madagascariensis
2881,0.99,0.68,0.72,0.74,0.65,Pteropus_rufus,Rousettus_madagascariensis
2901,1,0.71,0.75,0.74,0.66,Pteropus_rufus,Rousettus_madagascariensis
2921,1,0.63,0.71,0.71,0.59,Pteropus_rufus,Rousettus_madagascariensis
2941,1,0.67,0.72,0.72,0.59,Pteropus_rufus,Rousettus_madagascariensis
2961,1,0.7,0.74,0.75,0.61,Pteropus_rufus,Rousettus_madagascariensis
2981,1,0.72,0.75,0.81,0.61,Pteropus_rufus,Rousettus_madagascariensis
3001,1,0.72,0.75,0.81,0.61,Pteropus_rufus,Rousettus_madagascariensis
3021,1,0.72,0.75,0.81,0.61,Pteropus_rufus,Rousettus_madagascariensis
3041,1,0.72,0.75,0.81,0.61,Pteropus_rufus,Rousettus_madagascariensis
3061,1,0.72,0.75,0.81,0.61,Pteropus_rufus,Rousettus_madagascariensis
3081,1,0.72,0.75,0.81,0.61,Pteropus_rufus,Rousettus_madagascariensis
3101,1,0.72,0.75,0.81,0.61,Pteropus_rufus,Rousettus_madagascariensis
3121,1,0.86,0.84,0.9,0.68,Pteropus_rufus,Rousettus_madagascariensis
3141,1,0.78,0.78,0.82,0.68,Pteropus_rufus,Rousettus_madagascariensis
3161,1,0.79,0.79,0.85,0.72,Pteropus_rufus,Rousettus_madagascariensis
3181,1,0.77,0.79,0.85,0.77,Pteropus_rufus,Rousettus_madagascariensis
3201,1,0.8,0.82,0.86,0.8,Pteropus_rufus,Rousettus_madagascariensis
3221,1,0.82,0.84,0.88,0.82,Pteropus_rufus,Rousettus_madagascariensis
3241,1,0.83,0.83,0.86,0.85,Pteropus_rufus,Rousettus_madagascariensis
3261,1,0.84,0.85,0.87,0.84,Pteropus_rufus,Rousettus_madagascariensis
3281,1,0.84,0.85,0.85,0.82,Pteropus_rufus,Rousettus_madagascariensis
3301,1,0.84,0.85,0.86,0.84,Pteropus_rufus,Rousettus_madagascariensis
3321,1,0.85,0.87,0.86,0.84,Pteropus_rufus,Rousettus_madagascariensis
3341,1,0.89,0.9,0.89,0.86,Pteropus_rufus,Rousettus_madagascariensis
3361,1,0.92,0.93,0.9,0.86,Pteropus_rufus,Rousettus_madagascariensis
3381,1,0.92,0.92,0.9,0.82,Pteropus_rufus,Rousettus_madagascariensis
3401,1,0.89,0.89,0.89,0.78,Pteropus_rufus,Rousettus_madagascariensis
3421,1,0.83,0.83,0.87,0.72,Pteropus_rufus,Rousettus_madagascariensis
3441,1,0.82,0.82,0.86,0.7,Pteropus_rufus,Rousettus_madagascariensis
3461,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3481,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3501,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3521,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3541,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3561,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3581,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3601,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3621,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3641,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3661,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3681,1,0.83,0.81,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
3701,0.98,0.71,0.71,0.67,0.54,Pteropus_rufus,Rousettus_madagascariensis
3721,0.98,0.78,0.78,0.77,0.65,Pteropus_rufus,Rousettus_madagascariensis
3741,0.98,0.78,0.78,0.77,0.65,Pteropus_rufus,Rousettus_madagascariensis
3761,0.99,0.86,0.85,0.8,0.67,Pteropus_rufus,Rousettus_madagascariensis
3781,0.99,0.89,0.89,0.8,0.66,Pteropus_rufus,Rousettus_madagascariensis
3801,0.99,0.91,0.9,0.83,0.68,Pteropus_rufus,Rousettus_madagascariensis
3821,1,0.95,0.95,0.88,0.72,Pteropus_rufus,Rousettus_madagascariensis
3841,1,0.93,0.93,0.88,0.7,Pteropus_rufus,Rousettus_madagascariensis
3861,1,0.93,0.94,0.91,0.73,Pteropus_rufus,Rousettus_madagascariensis
3881,1,0.91,0.93,0.92,0.7,Pteropus_rufus,Rousettus_madagascariensis
3901,1,0.92,0.93,0.92,0.76,Pteropus_rufus,Rousettus_madagascariensis
3921,1,0.91,0.92,0.92,0.73,Pteropus_rufus,Rousettus_madagascariensis
3941,1,0.91,0.92,0.93,0.73,Pteropus_rufus,Rousettus_madagascariensis
3961,1,0.91,0.92,0.93,0.74,Pteropus_rufus,Rousettus_madagascariensis
3981,1,0.92,0.92,0.95,0.74,Pteropus_rufus,Rousettus_madagascariensis
4001,1,0.89,0.89,0.93,0.71,Pteropus_rufus,Rousettus_madagascariensis
4021,1,0.91,0.91,0.94,0.72,Pteropus_rufus,Rousettus_madagascariensis
4041,1,0.9,0.91,0.94,0.71,Pteropus_rufus,Rousettus_madagascariensis
4061,1,0.83,0.86,0.89,0.65,Pteropus_rufus,Rousettus_madagascariensis
4081,1,0.84,0.85,0.88,0.68,Pteropus_rufus,Rousettus_madagascariensis
4101,1,0.83,0.84,0.87,0.66,Pteropus_rufus,Rousettus_madagascariensis
4121,1,0.84,0.84,0.86,0.7,Pteropus_rufus,Rousettus_madagascariensis
4141,1,0.86,0.85,0.85,0.75,Pteropus_rufus,Rousettus_madagascariensis
4161,1,0.85,0.83,0.83,0.71,Pteropus_rufus,Rousettus_madagascariensis
4181,1,0.85,0.83,0.85,0.77,Pteropus_rufus,Rousettus_madagascariensis
4201,1,0.89,0.88,0.88,0.79,Pteropus_rufus,Rousettus_madagascariensis
4221,1,0.89,0.88,0.88,0.81,Pteropus_rufus,Rousettus_madagascariensis
4241,1,0.92,0.9,0.88,0.83,Pteropus_rufus,Rousettus_madagascariensis
4261,1,0.98,0.94,0.93,0.89,Pteropus_rufus,Rousettus_madagascariensis
4281,1,0.99,0.95,0.94,0.88,Pteropus_rufus,Rousettus_madagascariensis
4301,1,0.99,0.95,0.94,0.88,Pteropus_rufus,Rousettus_madagascariensis
4321,1,0.99,0.96,0.95,0.87,Pteropus_rufus,Rousettus_madagascariensis
4341,1,0.99,0.96,0.96,0.88,Pteropus_rufus,Rousettus_madagascariensis
4361,1,1,0.99,0.99,0.91,Pteropus_rufus,Rousettus_madagascariensis
4381,1,1,0.99,0.99,0.91,Pteropus_rufus,Rousettus_madagascariensis
4401,1,0.99,0.97,0.97,0.94,Pteropus_rufus,Rousettus_madagascariensis
4421,1,0.98,0.97,0.97,0.93,Pteropus_rufus,Rousettus_madagascariensis
4441,1,0.98,0.97,0.98,0.93,Pteropus_rufus,Rousettus_madagascariensis
4461,1,0.98,0.96,0.98,0.93,Pteropus_rufus,Rousettus_madagascariensis
4481,1,0.98,0.98,0.98,0.95,Pteropus_rufus,Rousettus_madagascariensis
4501,1,0.98,0.98,0.97,0.93,Pteropus_rufus,Rousettus_madagascariensis
4521,1,0.98,0.98,0.95,0.95,Pteropus_rufus,Rousettus_madagascariensis
4541,1,0.95,0.97,0.92,0.9,Pteropus_rufus,Rousettus_madagascariensis
4561,1,0.96,0.97,0.92,0.9,Pteropus_rufus,Rousettus_madagascariensis
4581,1,0.96,0.97,0.93,0.89,Pteropus_rufus,Rousettus_madagascariensis
4601,1,0.97,0.99,0.94,0.89,Pteropus_rufus,Rousettus_madagascariensis
4621,1,0.97,0.99,0.94,0.91,Pteropus_rufus,Rousettus_madagascariensis
4641,1,0.97,0.97,0.94,0.93,Pteropus_rufus,Rousettus_madagascariensis
4661,1,0.97,0.97,0.95,0.93,Pteropus_rufus,Rousettus_madagascariensis
4681,1,0.97,0.97,0.95,0.93,Pteropus_rufus,Rousettus_madagascariensis
4701,1,0.98,0.97,0.96,0.95,Pteropus_rufus,Rousettus_madagascariensis
4721,1,0.97,0.96,0.97,0.95,Pteropus_rufus,Rousettus_madagascariensis
4741,1,1,0.96,0.99,0.99,Pteropus_rufus,Rousettus_madagascariensis
4761,1,1,0.96,0.99,0.97,Pteropus_rufus,Rousettus_madagascariensis
4781,1,1,0.96,0.99,0.97,Pteropus_rufus,Rousettus_madagascariensis
4801,1,1,0.96,0.99,0.97,Pteropus_rufus,Rousettus_madagascariensis
4821,1,1,0.96,0.99,0.97,Pteropus_rufus,Rousettus_madagascariensis
4841,1,1,0.98,0.99,0.98,Pteropus_rufus,Rousettus_madagascariensis
4861,1,1,0.98,0.99,0.96,Pteropus_rufus,Rousettus_madagascariensis
4881,1,0.99,0.98,0.99,0.95,Pteropus_rufus,Rousettus_madagascariensis
4901,1,0.99,0.98,0.99,0.95,Pteropus_rufus,Rousettus_madagascariensis
4921,1,0.99,0.98,0.99,0.95,Pteropus_rufus,Rousettus_madagascariensis
4941,1,0.98,0.98,0.99,0.95,Pteropus_rufus,Rousettus_madagascariensis
4961,1,0.98,0.98,0.99,0.97,Pteropus_rufus,Rousettus_madagascariensis
4981,1,0.98,0.98,0.99,0.97,Pteropus_rufus,Rousettus_madagascariensis
5001,1,0.97,0.97,0.98,0.94,Pteropus_rufus,Rousettus_madagascariensis
5021,1,0.95,0.97,0.97,0.93,Pteropus_rufus,Rousettus_madagascariensis
5041,1,0.95,0.96,0.96,0.91,Pteropus_rufus,Rousettus_madagascariensis
5061,1,0.95,0.95,0.94,0.9,Pteropus_rufus,Rousettus_madagascariensis
5081,1,0.95,0.93,0.93,0.9,Pteropus_rufus,Rousettus_madagascariensis
5101,1,0.95,0.93,0.93,0.9,Pteropus_rufus,Rousettus_madagascariensis
5121,1,0.95,0.95,0.93,0.9,Pteropus_rufus,Rousettus_madagascariensis
5141,1,0.96,0.96,0.95,0.9,Pteropus_rufus,Rousettus_madagascariensis
5161,1,0.96,0.96,0.94,0.88,Pteropus_rufus,Rousettus_madagascariensis
5181,1,0.94,0.94,0.92,0.87,Pteropus_rufus,Rousettus_madagascariensis
5201,1,0.95,0.95,0.92,0.89,Pteropus_rufus,Rousettus_madagascariensis
5221,1,0.94,0.93,0.93,0.87,Pteropus_rufus,Rousettus_madagascariensis
5241,1,0.93,0.92,0.93,0.89,Pteropus_rufus,Rousettus_madagascariensis
5261,1,0.93,0.93,0.96,0.92,Pteropus_rufus,Rousettus_madagascariensis
5281,1,0.94,0.94,0.94,0.91,Pteropus_rufus,Rousettus_madagascariensis
5301,1,0.93,0.93,0.94,0.88,Pteropus_rufus,Rousettus_madagascariensis
5321,1,0.94,0.94,0.94,0.88,Pteropus_rufus,Rousettus_madagascariensis
5341,1,0.92,0.92,0.91,0.83,Pteropus_rufus,Rousettus_madagascariensis
5361,1,0.93,0.93,0.92,0.86,Pteropus_rufus,Rousettus_madagascariensis
5381,1,0.93,0.94,0.93,0.86,Pteropus_rufus,Rousettus_madagascariensis
5401,1,0.93,0.94,0.94,0.86,Pteropus_rufus,Rousettus_madagascariensis
5421,1,0.91,0.94,0.91,0.87,Pteropus_rufus,Rousettus_madagascariensis
5441,1,0.92,0.95,0.91,0.85,Pteropus_rufus,Rousettus_madagascariensis
5461,1,0.92,0.95,0.91,0.83,Pteropus_rufus,Rousettus_madagascariensis
5481,1,0.91,0.94,0.9,0.79,Pteropus_rufus,Rousettus_madagascariensis
5501,1,0.89,0.93,0.88,0.84,Pteropus_rufus,Rousettus_madagascariensis
5521,1,0.89,0.94,0.88,0.83,Pteropus_rufus,Rousettus_madagascariensis
5541,1,0.91,0.95,0.91,0.88,Pteropus_rufus,Rousettus_madagascariensis
5561,1,0.89,0.95,0.89,0.87,Pteropus_rufus,Rousettus_madagascariensis
5581,1,0.91,0.93,0.87,0.86,Pteropus_rufus,Rousettus_madagascariensis
5601,1,0.91,0.93,0.88,0.88,Pteropus_rufus,Rousettus_madagascariensis
5621,1,0.95,0.96,0.92,0.89,Pteropus_rufus,Rousettus_madagascariensis
5641,1,0.95,0.96,0.92,0.88,Pteropus_rufus,Rousettus_madagascariensis
5661,1,0.95,0.96,0.92,0.87,Pteropus_rufus,Rousettus_madagascariensis
5681,1,0.95,0.97,0.95,0.9,Pteropus_rufus,Rousettus_madagascariensis
5701,1,0.98,0.98,0.96,0.88,Pteropus_rufus,Rousettus_madagascariensis
5721,1,0.97,0.96,0.96,0.89,Pteropus_rufus,Rousettus_madagascariensis
5741,1,0.96,0.96,0.95,0.87,Pteropus_rufus,Rousettus_madagascariensis
5761,1,0.96,0.95,0.95,0.86,Pteropus_rufus,Rousettus_madagascariensis
5781,1,0.96,0.96,0.96,0.89,Pteropus_rufus,Rousettus_madagascariensis
5801,1,0.96,0.96,0.95,0.87,Pteropus_rufus,Rousettus_madagascariensis
5821,1,0.94,0.95,0.93,0.87,Pteropus_rufus,Rousettus_madagascariensis
5841,1,0.94,0.93,0.93,0.9,Pteropus_rufus,Rousettus_madagascariensis
5861,1,0.94,0.93,0.92,0.91,Pteropus_rufus,Rousettus_madagascariensis
5881,1,0.95,0.94,0.92,0.91,Pteropus_rufus,Rousettus_madagascariensis
5901,1,0.95,0.94,0.93,0.92,Pteropus_rufus,Rousettus_madagascariensis
5921,1,0.96,0.96,0.92,0.93,Pteropus_rufus,Rousettus_madagascariensis
5941,1,0.94,0.93,0.9,0.93,Pteropus_rufus,Rousettus_madagascariensis
5961,1,0.95,0.94,0.91,0.92,Pteropus_rufus,Rousettus_madagascariensis
5981,1,0.95,0.94,0.91,0.92,Pteropus_rufus,Rousettus_madagascariensis
6001,1,0.93,0.91,0.9,0.91,Pteropus_rufus,Rousettus_madagascariensis
6021,1,0.94,0.93,0.92,0.93,Pteropus_rufus,Rousettus_madagascariensis
6041,1,0.94,0.94,0.89,0.91,Pteropus_rufus,Rousettus_madagascariensis
6061,1,0.95,0.95,0.9,0.93,Pteropus_rufus,Rousettus_madagascariensis
6081,1,0.93,0.93,0.9,0.92,Pteropus_rufus,Rousettus_madagascariensis
6101,1,0.94,0.94,0.91,0.92,Pteropus_rufus,Rousettus_madagascariensis
6121,1,0.93,0.93,0.9,0.89,Pteropus_rufus,Rousettus_madagascariensis
6141,1,0.93,0.95,0.9,0.9,Pteropus_rufus,Rousettus_madagascariensis
6161,1,0.92,0.94,0.89,0.9,Pteropus_rufus,Rousettus_madagascariensis
6181,1,0.91,0.93,0.87,0.88,Pteropus_rufus,Rousettus_madagascariensis
6201,1,0.93,0.94,0.86,0.91,Pteropus_rufus,Rousettus_madagascariensis
6221,1,0.89,0.93,0.84,0.89,Pteropus_rufus,Rousettus_madagascariensis
6241,1,0.89,0.92,0.88,0.91,Pteropus_rufus,Rousettus_madagascariensis
6261,1,0.89,0.92,0.87,0.86,Pteropus_rufus,Rousettus_madagascariensis
6281,1,0.88,0.92,0.85,0.82,Pteropus_rufus,Rousettus_madagascariensis
6301,1,0.89,0.92,0.85,0.81,Pteropus_rufus,Rousettus_madagascariensis
6321,1,0.87,0.91,0.86,0.81,Pteropus_rufus,Rousettus_madagascariensis
6341,1,0.89,0.91,0.89,0.82,Pteropus_rufus,Rousettus_madagascariensis
6361,1,0.91,0.91,0.89,0.82,Pteropus_rufus,Rousettus_madagascariensis
6381,1,0.91,0.91,0.91,0.84,Pteropus_rufus,Rousettus_madagascariensis
6401,1,0.91,0.93,0.94,0.83,Pteropus_rufus,Rousettus_madagascariensis
6421,1,0.94,0.94,0.96,0.83,Pteropus_rufus,Rousettus_madagascariensis
6441,1,0.94,0.94,0.96,0.79,Pteropus_rufus,Rousettus_madagascariensis
