FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\ORF1a_Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1a"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1a"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1a"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a"


"CenterPos","Eidolon_helvum","GX2018-BtCoV92","Pteropus_rufus","GCCDC1","HKU9"
"1381","1.00","0.79","0.66","0.86","0.80"
"1401","1.00","0.79","0.66","0.86","0.80"
"1421","1.00","0.79","0.66","0.86","0.80"
"1441","1.00","0.79","0.66","0.86","0.80"
"1461","1.00","0.79","0.66","0.86","0.80"
"1481","1.00","0.79","0.66","0.86","0.80"
"1501","1.00","0.79","0.66","0.86","0.80"
"1521","1.00","0.79","0.66","0.86","0.80"
"1541","1.00","0.79","0.66","0.86","0.80"
"1561","1.00","0.79","0.66","0.86","0.80"
"1581","1.00","0.79","0.66","0.86","0.80"
"1601","1.00","0.79","0.66","0.86","0.80"
"1621","1.00","0.79","0.66","0.86","0.80"
"1641","1.00","0.79","0.66","0.86","0.80"
"1661","1.00","0.79","0.66","0.86","0.80"
"1681","1.00","0.79","0.66","0.86","0.80"
"1701","1.00","0.79","0.66","0.86","0.80"
"1721","1.00","0.79","0.66","0.86","0.80"
"1741","0.99","0.80","0.69","0.82","0.84"
"1761","0.99","0.78","0.68","0.80","0.83"
"1781","0.99","0.77","0.69","0.81","0.86"
"1801","0.99","0.80","0.73","0.79","0.86"
"1821","1.00","0.82","0.73","0.79","0.88"
"1841","1.00","0.79","0.69","0.79","0.84"
"1861","1.00","0.75","0.73","0.78","0.83"
"1881","1.00","0.78","0.70","0.80","0.83"
"1901","1.00","0.79","0.60","0.80","0.84"
"1921","1.00","0.79","0.60","0.80","0.84"
"1941","1.00","0.79","0.60","0.80","0.84"
"1961","1.00","0.79","0.60","0.80","0.84"
"1981","1.00","0.79","0.60","0.80","0.84"
"2001","1.00","0.79","0.60","0.80","0.84"
"2021","1.00","0.79","0.60","0.80","0.84"
"2041","1.00","0.79","0.60","0.80","0.84"
"2061","1.00","0.79","0.60","0.80","0.84"
"2081","1.00","0.79","0.60","0.80","0.84"
"2101","1.00","0.79","0.60","0.80","0.84"
"2121","1.00","0.79","0.60","0.80","0.84"
"2141","1.00","0.79","0.60","0.80","0.84"
"2161","1.00","0.79","0.60","0.80","0.84"
"2181","1.00","0.79","0.60","0.80","0.84"
"2201","1.00","0.79","0.60","0.80","0.84"
"2221","1.00","0.79","0.60","0.80","0.84"
"2241","1.00","0.79","0.60","0.80","0.84"
"2261","1.00","0.79","0.60","0.80","0.84"
"2281","1.00","0.79","0.60","0.80","0.84"
"2301","1.00","0.79","0.60","0.80","0.84"
"2321","1.00","0.79","0.60","0.80","0.84"
"2341","1.00","0.92","0.80","0.91","0.93"
"2361","1.00","0.92","0.80","0.91","0.93"
"2381","1.00","0.92","0.80","0.91","0.91"
"2401","1.00","0.91","0.78","0.89","0.89"
"2421","1.00","0.85","0.72","0.86","0.84"
"2441","1.00","0.87","0.76","0.83","0.83"
"2461","1.00","0.88","0.75","0.80","0.83"
"2481","1.00","0.88","0.72","0.77","0.84"
"2501","1.00","0.84","0.70","0.70","0.80"
"2521","1.00","0.82","0.71","0.66","0.78"
"2541","1.00","0.81","0.73","0.66","0.79"
"2561","1.00","0.81","0.71","0.63","0.77"
"2581","1.00","0.81","0.70","0.63","0.74"
"2601","1.00","0.79","0.70","0.63","0.74"
"2621","1.00","0.86","0.78","0.73","0.82"
"2641","0.99","0.84","0.74","0.74","0.81"
"2661","0.99","0.84","0.73","0.79","0.83"
"2681","0.99","0.83","0.77","0.81","0.80"
"2701","0.97","0.84","0.80","0.86","0.81"
"2721","0.97","0.81","0.82","0.85","0.78"
"2741","0.97","0.81","0.80","0.87","0.78"
"2761","0.97","0.72","0.76","0.81","0.73"
"2781","0.97","0.72","0.76","0.81","0.73"
"2801","0.97","0.73","0.71","0.78","0.75"
"2821","0.97","0.66","0.63","0.75","0.68"
"2841","0.97","0.66","0.63","0.75","0.68"
"2861","0.99","0.65","0.68","0.77","0.70"
"2881","0.99","0.68","0.68","0.73","0.72"
"2901","1.00","0.67","0.64","0.73","0.74"
"2921","1.00","0.67","0.62","0.71","0.72"
"2941","1.00","0.70","0.61","0.74","0.73"
"2961","1.00","0.73","0.63","0.77","0.76"
"2981","1.00","0.73","0.63","0.77","0.76"
"3001","1.00","0.73","0.63","0.77","0.76"
"3021","1.00","0.73","0.63","0.77","0.76"
"3041","1.00","0.73","0.63","0.77","0.76"
"3061","1.00","0.73","0.63","0.77","0.76"
"3081","1.00","0.73","0.63","0.77","0.76"
"3101","1.00","0.73","0.63","0.77","0.76"
"3121","1.00","0.84","0.70","0.86","0.84"
"3141","1.00","0.75","0.70","0.82","0.75"
"3161","1.00","0.77","0.74","0.85","0.79"
"3181","1.00","0.79","0.81","0.85","0.81"
"3201","1.00","0.82","0.81","0.88","0.84"
"3221","1.00","0.81","0.85","0.88","0.83"
"3241","1.00","0.81","0.81","0.85","0.81"
"3261","1.00","0.83","0.86","0.88","0.84"
"3281","1.00","0.84","0.83","0.86","0.86"
"3301","1.00","0.83","0.83","0.85","0.85"
"3321","1.00","0.87","0.84","0.88","0.88"
"3341","1.00","0.92","0.86","0.90","0.93"
"3361","1.00","0.92","0.84","0.90","0.92"
"3381","1.00","0.88","0.77","0.88","0.88"
"3401","1.00","0.86","0.76","0.88","0.86"
"3421","1.00","0.82","0.67","0.84","0.82"
"3441","1.00","0.83","0.74","0.86","0.83"
"3461","1.00","0.83","0.73","0.84","0.81"
"3481","1.00","0.83","0.73","0.84","0.81"
"3501","1.00","0.83","0.73","0.84","0.81"
"3521","1.00","0.83","0.73","0.84","0.81"
"3541","1.00","0.83","0.73","0.84","0.81"
"3561","1.00","0.83","0.73","0.84","0.81"
"3581","1.00","0.83","0.73","0.84","0.81"
"3601","1.00","0.83","0.73","0.84","0.81"
"3621","1.00","0.83","0.73","0.84","0.81"
"3641","1.00","0.83","0.73","0.84","0.81"
"3661","1.00","0.83","0.73","0.84","0.81"
"3681","1.00","0.83","0.73","0.84","0.81"
"3701","0.98","0.73","0.57","0.72","0.73"
"3721","0.98","0.73","0.57","0.72","0.73"
"3741","0.99","0.86","0.67","0.80","0.85"
"3761","0.99","0.86","0.66","0.80","0.86"
"3781","0.99","0.89","0.68","0.81","0.89"
"3801","1.00","0.95","0.76","0.86","0.95"
"3821","1.00","0.95","0.76","0.86","0.95"
"3841","1.00","0.92","0.72","0.91","0.94"
"3861","1.00","0.93","0.72","0.91","0.94"
"3881","1.00","0.92","0.75","0.92","0.93"
"3901","1.00","0.91","0.74","0.92","0.92"
"3921","1.00","0.91","0.71","0.92","0.92"
"3941","1.00","0.91","0.74","0.93","0.92"
"3961","1.00","0.92","0.73","0.95","0.91"
"3981","1.00","0.89","0.73","0.94","0.89"
"4001","1.00","0.89","0.69","0.94","0.89"
"4021","1.00","0.89","0.69","0.92","0.91"
"4041","1.00","0.87","0.66","0.92","0.89"
"4061","1.00","0.83","0.67","0.89","0.85"
"4081","1.00","0.83","0.67","0.88","0.85"
"4101","1.00","0.84","0.69","0.85","0.84"
"4121","1.00","0.85","0.72","0.85","0.85"
"4141","1.00","0.84","0.69","0.82","0.84"
"4161","1.00","0.85","0.75","0.83","0.83"
"4181","1.00","0.89","0.79","0.88","0.88"
"4201","1.00","0.90","0.81","0.88","0.88"
"4221","1.00","0.91","0.84","0.90","0.89"
"4241","1.00","0.95","0.89","0.90","0.92"
"4261","1.00","0.98","0.89","0.93","0.94"
