FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\AAAlignmentWNS7.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a_-_NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b_-_NC_048212_1_Eidolon_helvum_Cameroon_-_S_-_NC_048212_1_Eidolon_helvum_Cameroon_-_NS3_-_NC_048212_1_Eidolon_helvum_Cameroon_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1a_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1b_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_S_and_4_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1a_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1b_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_S_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_NS3_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_S_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1a_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1b_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_S_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"


"CenterPos","Eidolon_helvum","GX2018-BtCoV92","Pteropus_rufus","HKU9","GCCDC1"
"1141","1.00","0.79","0.66","0.80","0.86"
"1161","1.00","0.79","0.66","0.80","0.86"
"1181","1.00","0.79","0.66","0.80","0.86"
"1201","1.00","0.79","0.66","0.80","0.86"
"1221","1.00","0.79","0.66","0.80","0.86"
"1241","1.00","0.79","0.66","0.80","0.86"
"1261","1.00","0.79","0.66","0.80","0.86"
"1281","1.00","0.79","0.66","0.80","0.86"
"1301","1.00","0.79","0.66","0.80","0.86"
"1321","1.00","0.79","0.66","0.80","0.86"
"1341","1.00","0.79","0.66","0.80","0.86"
"1361","1.00","0.79","0.66","0.80","0.86"
"1381","1.00","0.79","0.66","0.80","0.86"
"1401","1.00","0.79","0.66","0.80","0.86"
"1421","1.00","0.79","0.66","0.80","0.86"
"1441","1.00","0.79","0.66","0.80","0.86"
"1461","1.00","0.79","0.66","0.80","0.86"
"1481","1.00","0.79","0.66","0.80","0.86"
"1501","1.00","0.79","0.66","0.80","0.86"
"1521","1.00","0.79","0.66","0.80","0.86"
"1541","1.00","0.79","0.66","0.80","0.86"
"1561","1.00","0.79","0.66","0.80","0.86"
"1581","1.00","0.79","0.66","0.80","0.86"
"1601","1.00","0.79","0.66","0.80","0.86"
"1621","1.00","0.79","0.66","0.80","0.86"
"1641","1.00","0.79","0.66","0.80","0.86"
"1661","1.00","0.79","0.66","0.80","0.86"
"1681","1.00","0.79","0.66","0.80","0.86"
"1701","1.00","0.79","0.66","0.80","0.86"
"1721","0.99","0.79","0.75","0.83","0.80"
"1741","0.99","0.78","0.70","0.82","0.82"
"1761","0.99","0.78","0.68","0.83","0.80"
"1781","0.99","0.77","0.69","0.86","0.81"
"1801","1.00","0.81","0.73","0.88","0.81"
"1821","1.00","0.81","0.73","0.87","0.79"
"1841","1.00","0.78","0.71","0.84","0.81"
"1861","1.00","0.75","0.73","0.83","0.77"
"1881","1.00","0.78","0.69","0.83","0.80"
"1901","1.00","0.78","0.69","0.83","0.80"
"1921","1.00","0.78","0.69","0.83","0.80"
"1941","1.00","0.78","0.69","0.83","0.80"
"1961","1.00","0.78","0.69","0.83","0.80"
"1981","1.00","0.78","0.69","0.83","0.80"
"2001","1.00","0.78","0.69","0.83","0.80"
"2021","1.00","0.78","0.69","0.83","0.80"
"2041","1.00","0.78","0.69","0.83","0.80"
"2061","1.00","0.78","0.69","0.83","0.80"
"2081","1.00","0.78","0.69","0.83","0.80"
"2101","1.00","0.78","0.69","0.83","0.80"
"2121","1.00","0.78","0.69","0.83","0.80"
"2141","1.00","0.78","0.69","0.83","0.80"
"2161","1.00","0.78","0.69","0.83","0.80"
"2181","1.00","0.78","0.69","0.83","0.80"
"2201","1.00","0.78","0.69","0.83","0.80"
"2221","1.00","0.78","0.69","0.83","0.80"
"2241","1.00","0.78","0.69","0.83","0.80"
"2261","1.00","0.78","0.69","0.83","0.80"
"2281","1.00","0.78","0.69","0.83","0.80"
"2301","1.00","0.78","0.69","0.83","0.80"
"2321","1.00","0.78","0.69","0.83","0.80"
"2341","1.00","0.90","0.77","0.91","0.89"
"2361","1.00","0.93","0.80","0.93","0.91"
"2381","1.00","0.93","0.80","0.91","0.91"
"2401","1.00","0.91","0.80","0.89","0.89"
"2421","1.00","0.89","0.75","0.87","0.89"
"2441","1.00","0.86","0.76","0.83","0.83"
"2461","1.00","0.89","0.78","0.84","0.84"
"2481","1.00","0.88","0.75","0.83","0.79"
"2501","1.00","0.84","0.69","0.81","0.75"
"2521","1.00","0.82","0.72","0.78","0.67"
"2541","1.00","0.83","0.73","0.81","0.69"
"2561","1.00","0.81","0.73","0.79","0.65"
"2581","1.00","0.81","0.71","0.74","0.63"
"2601","1.00","0.81","0.68","0.74","0.63"
"2621","1.00","0.82","0.75","0.77","0.67"
"2641","1.00","0.85","0.75","0.83","0.75"
"2661","0.99","0.83","0.70","0.80","0.73"
"2681","0.99","0.82","0.75","0.81","0.79"
"2701","0.97","0.84","0.78","0.81","0.82"
"2721","0.97","0.83","0.82","0.81","0.85"
"2741","0.97","0.81","0.80","0.79","0.85"
"2761","0.97","0.77","0.78","0.74","0.82"
"2781","0.97","0.75","0.75","0.78","0.80"
"2801","0.97","0.73","0.74","0.76","0.80"
"2821","0.97","0.71","0.66","0.72","0.76"
"2841","0.97","0.66","0.60","0.67","0.73"
"2861","0.98","0.62","0.63","0.68","0.75"
"2881","0.99","0.68","0.65","0.72","0.74"
"2901","1.00","0.71","0.66","0.75","0.74"
"2921","1.00","0.63","0.59","0.71","0.71"
"2941","1.00","0.67","0.59","0.72","0.72"
"2961","1.00","0.70","0.61","0.74","0.75"
"2981","1.00","0.72","0.61","0.75","0.81"
"3001","1.00","0.72","0.61","0.75","0.81"
"3021","1.00","0.72","0.61","0.75","0.81"
"3041","1.00","0.72","0.61","0.75","0.81"
"3061","1.00","0.72","0.61","0.75","0.81"
"3081","1.00","0.72","0.61","0.75","0.81"
"3101","1.00","0.72","0.61","0.75","0.81"
"3121","1.00","0.86","0.68","0.84","0.90"
"3141","1.00","0.78","0.68","0.78","0.82"
"3161","1.00","0.79","0.72","0.79","0.85"
"3181","1.00","0.77","0.77","0.79","0.85"
"3201","1.00","0.80","0.80","0.82","0.86"
"3221","1.00","0.82","0.82","0.84","0.88"
"3241","1.00","0.83","0.85","0.83","0.86"
"3261","1.00","0.84","0.84","0.85","0.87"
"3281","1.00","0.84","0.82","0.85","0.85"
"3301","1.00","0.84","0.84","0.85","0.86"
"3321","1.00","0.85","0.84","0.87","0.86"
"3341","1.00","0.89","0.86","0.90","0.89"
"3361","1.00","0.92","0.86","0.93","0.90"
"3381","1.00","0.92","0.82","0.92","0.90"
"3401","1.00","0.89","0.78","0.89","0.89"
"3421","1.00","0.83","0.72","0.83","0.87"
"3441","1.00","0.82","0.70","0.82","0.86"
"3461","1.00","0.83","0.75","0.81","0.85"
"3481","1.00","0.83","0.75","0.81","0.85"
"3501","1.00","0.83","0.75","0.81","0.85"
"3521","1.00","0.83","0.75","0.81","0.85"
"3541","1.00","0.83","0.75","0.81","0.85"
"3561","1.00","0.83","0.75","0.81","0.85"
"3581","1.00","0.83","0.75","0.81","0.85"
"3601","1.00","0.83","0.75","0.81","0.85"
"3621","1.00","0.83","0.75","0.81","0.85"
"3641","1.00","0.83","0.75","0.81","0.85"
"3661","1.00","0.83","0.75","0.81","0.85"
"3681","1.00","0.83","0.75","0.81","0.85"
"3701","0.98","0.71","0.54","0.71","0.67"
"3721","0.98","0.78","0.65","0.78","0.77"
"3741","0.98","0.78","0.65","0.78","0.77"
"3761","0.99","0.86","0.67","0.85","0.80"
"3781","0.99","0.89","0.66","0.89","0.80"
"3801","0.99","0.91","0.68","0.90","0.83"
"3821","1.00","0.95","0.72","0.95","0.88"
"3841","1.00","0.93","0.70","0.93","0.88"
"3861","1.00","0.93","0.73","0.94","0.91"
"3881","1.00","0.91","0.70","0.93","0.92"
"3901","1.00","0.92","0.76","0.93","0.92"
"3921","1.00","0.91","0.73","0.92","0.92"
"3941","1.00","0.91","0.73","0.92","0.93"
"3961","1.00","0.91","0.74","0.92","0.93"
"3981","1.00","0.92","0.74","0.92","0.95"
"4001","1.00","0.89","0.71","0.89","0.93"
"4021","1.00","0.91","0.72","0.91","0.94"
"4041","1.00","0.90","0.71","0.91","0.94"
"4061","1.00","0.83","0.65","0.86","0.89"
"4081","1.00","0.84","0.68","0.85","0.88"
"4101","1.00","0.83","0.66","0.84","0.87"
"4121","1.00","0.84","0.70","0.84","0.86"
"4141","1.00","0.86","0.75","0.85","0.85"
"4161","1.00","0.85","0.71","0.83","0.83"
"4181","1.00","0.85","0.77","0.83","0.85"
"4201","1.00","0.89","0.79","0.88","0.88"
"4221","1.00","0.89","0.81","0.88","0.88"
"4241","1.00","0.92","0.83","0.90","0.88"
"4261","1.00","0.98","0.89","0.94","0.93"
"4281","1.00","0.99","0.88","0.95","0.94"
"4301","1.00","0.99","0.88","0.95","0.94"
"4321","1.00","0.99","0.87","0.96","0.95"
"4341","1.00","0.99","0.88","0.96","0.96"
"4361","1.00","1.00","0.91","0.99","0.99"
"4381","1.00","1.00","0.91","0.99","0.99"
"4401","1.00","0.99","0.94","0.97","0.97"
"4421","1.00","0.98","0.93","0.97","0.97"
"4441","1.00","0.98","0.93","0.97","0.98"
"4461","1.00","0.98","0.93","0.96","0.98"
"4481","1.00","0.98","0.95","0.98","0.98"
"4501","1.00","0.98","0.93","0.98","0.97"
"4521","1.00","0.98","0.95","0.98","0.95"
"4541","1.00","0.95","0.90","0.97","0.92"
"4561","1.00","0.96","0.90","0.97","0.92"
"4581","1.00","0.96","0.89","0.97","0.93"
"4601","1.00","0.97","0.89","0.99","0.94"
"4621","1.00","0.97","0.91","0.99","0.94"
"4641","1.00","0.97","0.93","0.97","0.94"
"4661","1.00","0.97","0.93","0.97","0.95"
"4681","1.00","0.97","0.93","0.97","0.95"
"4701","1.00","0.98","0.95","0.97","0.96"
"4721","1.00","0.97","0.95","0.96","0.97"
"4741","1.00","1.00","0.99","0.96","0.99"
"4761","1.00","1.00","0.97","0.96","0.99"
"4781","1.00","1.00","0.97","0.96","0.99"
"4801","1.00","1.00","0.97","0.96","0.99"
"4821","1.00","1.00","0.97","0.96","0.99"
"4841","1.00","1.00","0.98","0.98","0.99"
"4861","1.00","1.00","0.96","0.98","0.99"
"4881","1.00","0.99","0.95","0.98","0.99"
"4901","1.00","0.99","0.95","0.98","0.99"
"4921","1.00","0.99","0.95","0.98","0.99"
"4941","1.00","0.98","0.95","0.98","0.99"
"4961","1.00","0.98","0.97","0.98","0.99"
"4981","1.00","0.98","0.97","0.98","0.99"
"5001","1.00","0.97","0.94","0.97","0.98"
"5021","1.00","0.95","0.93","0.97","0.97"
"5041","1.00","0.95","0.91","0.96","0.96"
"5061","1.00","0.95","0.90","0.95","0.94"
"5081","1.00","0.95","0.90","0.93","0.93"
"5101","1.00","0.95","0.90","0.93","0.93"
"5121","1.00","0.95","0.90","0.95","0.93"
"5141","1.00","0.96","0.90","0.96","0.95"
"5161","1.00","0.96","0.88","0.96","0.94"
"5181","1.00","0.94","0.87","0.94","0.92"
"5201","1.00","0.95","0.89","0.95","0.92"
"5221","1.00","0.94","0.87","0.93","0.93"
"5241","1.00","0.93","0.89","0.92","0.93"
"5261","1.00","0.93","0.92","0.93","0.96"
"5281","1.00","0.94","0.91","0.94","0.94"
"5301","1.00","0.93","0.88","0.93","0.94"
"5321","1.00","0.94","0.88","0.94","0.94"
"5341","1.00","0.92","0.83","0.92","0.91"
"5361","1.00","0.93","0.86","0.93","0.92"
"5381","1.00","0.93","0.86","0.94","0.93"
"5401","1.00","0.93","0.86","0.94","0.94"
"5421","1.00","0.91","0.87","0.94","0.91"
"5441","1.00","0.92","0.85","0.95","0.91"
"5461","1.00","0.92","0.83","0.95","0.91"
"5481","1.00","0.91","0.79","0.94","0.90"
"5501","1.00","0.89","0.84","0.93","0.88"
"5521","1.00","0.89","0.83","0.94","0.88"
"5541","1.00","0.91","0.88","0.95","0.91"
"5561","1.00","0.89","0.87","0.95","0.89"
"5581","1.00","0.91","0.86","0.93","0.87"
"5601","1.00","0.91","0.88","0.93","0.88"
"5621","1.00","0.95","0.89","0.96","0.92"
"5641","1.00","0.95","0.88","0.96","0.92"
"5661","1.00","0.95","0.87","0.96","0.92"
"5681","1.00","0.95","0.90","0.97","0.95"
"5701","1.00","0.98","0.88","0.98","0.96"
"5721","1.00","0.97","0.89","0.96","0.96"
"5741","1.00","0.96","0.87","0.96","0.95"
"5761","1.00","0.96","0.86","0.95","0.95"
"5781","1.00","0.96","0.89","0.96","0.96"
"5801","1.00","0.96","0.87","0.96","0.95"
"5821","1.00","0.94","0.87","0.95","0.93"
"5841","1.00","0.94","0.90","0.93","0.93"
"5861","1.00","0.94","0.91","0.93","0.92"
"5881","1.00","0.95","0.91","0.94","0.92"
"5901","1.00","0.95","0.92","0.94","0.93"
"5921","1.00","0.96","0.93","0.96","0.92"
"5941","1.00","0.94","0.93","0.93","0.90"
"5961","1.00","0.95","0.92","0.94","0.91"
"5981","1.00","0.95","0.92","0.94","0.91"
"6001","1.00","0.93","0.91","0.91","0.90"
"6021","1.00","0.94","0.93","0.93","0.92"
"6041","1.00","0.94","0.91","0.94","0.89"
"6061","1.00","0.95","0.93","0.95","0.90"
"6081","1.00","0.93","0.92","0.93","0.90"
"6101","1.00","0.94","0.92","0.94","0.91"
"6121","1.00","0.93","0.89","0.93","0.90"
"6141","1.00","0.93","0.90","0.95","0.90"
"6161","1.00","0.92","0.90","0.94","0.89"
"6181","1.00","0.91","0.88","0.93","0.87"
"6201","1.00","0.93","0.91","0.94","0.86"
"6221","1.00","0.89","0.89","0.93","0.84"
"6241","1.00","0.89","0.91","0.92","0.88"
"6261","1.00","0.89","0.86","0.92","0.87"
"6281","1.00","0.88","0.82","0.92","0.85"
"6301","1.00","0.89","0.81","0.92","0.85"
"6321","1.00","0.87","0.81","0.91","0.86"
"6341","1.00","0.89","0.82","0.91","0.89"
"6361","1.00","0.91","0.82","0.91","0.89"
"6381","1.00","0.91","0.84","0.91","0.91"
"6401","1.00","0.91","0.83","0.93","0.94"
"6421","1.00","0.94","0.83","0.94","0.96"
"6441","1.00","0.94","0.79","0.94","0.96"
"6461","1.00","0.93","0.84","0.94","0.94"
"6481","1.00","0.93","0.89","0.94","0.94"
"6501","1.00","0.93","0.86","0.93","0.92"
"6521","1.00","0.93","0.89","0.93","0.92"
"6541","1.00","0.91","0.87","0.93","0.90"
"6561","1.00","0.91","0.87","0.93","0.90"
"6581","1.00","0.91","0.87","0.93","0.90"
"6601","1.00","0.91","0.87","0.93","0.90"
"6621","1.00","0.91","0.87","0.93","0.90"
"6641","1.00","0.91","0.87","0.93","0.90"
"6661","0.99","0.86","0.76","0.84","0.81"
"6681","0.99","0.86","0.75","0.86","0.82"
"6701","0.99","0.84","0.73","0.86","0.82"
"6721","0.98","0.84","0.74","0.88","0.83"
"6741","0.99","0.88","0.76","0.88","0.86"
"6761","1.00","0.90","0.82","0.92","0.88"
"6781","1.00","0.87","0.83","0.90","0.84"
"6801","1.00","0.90","0.81","0.92","0.86"
"6821","1.00","0.92","0.86","0.95","0.86"
"6841","1.00","0.90","0.90","0.93","0.86"
"6861","1.00","0.91","0.92","0.95","0.91"
"6881","1.00","0.92","0.92","0.94","0.91"
"6901","1.00","0.91","0.93","0.94","0.92"
"6921","1.00","0.93","0.92","0.94","0.93"
"6941","1.00","0.92","0.92","0.95","0.92"
"6961","1.00","0.91","0.91","0.94","0.91"
"6981","0.99","0.91","0.87","0.94","0.94"
"7001","0.98","0.90","0.89","0.95","0.91"
"7021","0.98","0.90","0.89","0.95","0.91"
"7041","0.98","0.90","0.89","0.95","0.91"
"7061","0.98","0.90","0.89","0.95","0.91"
"7081","0.98","0.90","0.89","0.95","0.91"
"7101","0.98","0.90","0.89","0.95","0.91"
"7121","0.98","0.90","0.89","0.95","0.91"
"7141","0.98","0.90","0.89","0.95","0.91"
"7161","0.98","0.90","0.89","0.95","0.91"
"7181","0.98","0.90","0.89","0.95","0.91"
"7201","0.98","0.90","0.89","0.95","0.91"
"7221","0.98","0.90","0.89","0.95","0.91"
"7241","0.98","0.90","0.89","0.95","0.91"
"7261","0.98","0.90","0.89","0.95","0.91"
"7281","0.98","0.90","0.89","0.95","0.91"
"7301","0.98","0.90","0.89","0.95","0.91"
"7321","0.98","0.90","0.89","0.95","0.91"
"7341","0.98","0.90","0.89","0.95","0.91"
"7361","0.98","0.90","0.89","0.95","0.91"
"7381","0.98","0.90","0.89","0.95","0.91"
"7401","0.98","0.90","0.89","0.95","0.91"
"7421","0.98","0.90","0.89","0.95","0.91"
"7441","0.98","0.90","0.89","0.95","0.91"
"7461","0.98","0.90","0.89","0.95","0.91"
"7481","0.98","0.90","0.89","0.95","0.91"
"7501","0.98","0.90","0.89","0.95","0.91"
"7521","0.98","0.90","0.89","0.95","0.91"
"7541","0.98","0.90","0.89","0.95","0.91"
"7561","0.98","0.90","0.89","0.95","0.91"
"7581","0.98","0.90","0.89","0.95","0.91"
"7601","0.98","0.90","0.89","0.95","0.91"
"7621","0.98","0.90","0.89","0.95","0.91"
"7641","0.98","0.90","0.89","0.95","0.91"
"7661","0.98","0.90","0.89","0.95","0.91"
"7681","0.98","0.90","0.89","0.95","0.91"
"7701","0.98","0.90","0.89","0.95","0.91"
"7721","0.98","0.90","0.89","0.95","0.91"
"7741","0.98","0.90","0.89","0.95","0.91"
"7761","0.98","0.90","0.89","0.95","0.91"
"7781","0.98","0.90","0.89","0.95","0.91"
"7801","0.98","0.90","0.89","0.95","0.91"
"7821","0.98","0.90","0.89","0.95","0.91"
"7841","0.98","0.90","0.89","0.95","0.91"
"7861","0.98","0.90","0.89","0.95","0.91"
"7881","0.98","0.90","0.89","0.95","0.91"
"7901","0.98","0.90","0.89","0.95","0.91"
"7921","0.98","0.90","0.89","0.95","0.91"
"7941","0.88","0.72","0.76","0.74","0.76"
"7961","0.88","0.72","0.76","0.74","0.76"
"7981","0.88","0.72","0.76","0.74","0.76"
"8001","0.88","0.72","0.76","0.74","0.76"
"8021","0.95","0.73","0.84","0.77","0.81"
"8041","0.95","0.74","0.84","0.76","0.83"
"8061","0.96","0.75","0.86","0.76","0.82"
"8081","0.96","0.78","0.87","0.79","0.82"
"8101","0.97","0.78","0.87","0.83","0.84"
"8121","0.96","0.83","0.92","0.85","0.87"
"8141","0.95","0.86","0.91","0.87","0.90"
"8161","0.95","0.85","0.89","0.87","0.89"
"8181","0.92","0.87","0.84","0.87","0.84"
"8201","0.91","0.91","0.84","0.89","0.88"
"8221","0.91","0.91","0.84","0.89","0.88"
"8241","0.91","0.91","0.84","0.89","0.88"
"8261","0.91","0.91","0.84","0.89","0.88"
"8281","0.91","0.91","0.84","0.89","0.88"
"8301","0.91","0.91","0.84","0.89","0.88"
"8321","0.91","0.91","0.84","0.89","0.88"
"8341","0.91","0.91","0.84","0.89","0.88"
"8361","0.91","0.91","0.84","0.89","0.88"
"8381","0.91","0.91","0.84","0.89","0.88"
"8401","0.91","0.91","0.84","0.89","0.88"
"8421","0.91","0.91","0.84","0.89","0.88"
"8441","0.91","0.91","0.84","0.89","0.88"
"8461","0.91","0.91","0.84","0.89","0.88"
"8481","0.91","0.91","0.84","0.89","0.88"
"8501","0.91","0.91","0.84","0.89","0.88"
"8521","0.91","0.91","0.84","0.89","0.88"
"8541","0.91","0.91","0.84","0.89","0.88"
"8561","0.91","0.91","0.84","0.89","0.88"
"8581","0.91","0.91","0.84","0.89","0.88"
"8601","0.91","0.91","0.84","0.89","0.88"
"8621","0.91","0.91","0.84","0.89","0.88"
"8641","0.91","0.91","0.84","0.89","0.88"
"8661","0.91","0.91","0.84","0.89","0.88"
"8681","0.91","0.91","0.84","0.89","0.88"
"8701","0.91","0.91","0.84","0.89","0.88"
"8721","0.91","0.91","0.84","0.89","0.88"
"8741","0.91","0.91","0.84","0.89","0.88"
"8761","0.91","0.91","0.84","0.89","0.88"
"8781","0.91","0.91","0.84","0.89","0.88"
"8801","0.91","0.91","0.84","0.89","0.88"
"8821","0.91","0.91","0.84","0.89","0.88"
"8841","0.99","0.86","0.73","0.81","0.80"
"8861","1.00","0.85","0.74","0.81","0.82"
"8881","1.00","0.85","0.71","0.78","0.85"
"8901","1.00","0.85","0.71","0.78","0.85"
"8921","1.00","0.85","0.71","0.78","0.85"
"8941","1.00","0.85","0.71","0.78","0.85"
"8961","1.00","0.85","0.71","0.78","0.85"
"8981","1.00","0.85","0.71","0.78","0.85"
"9001","1.00","0.85","0.71","0.78","0.85"
"9021","1.00","0.85","0.71","0.78","0.85"
"9041","1.00","0.85","0.71","0.78","0.85"
"9061","1.00","0.85","0.71","0.78","0.85"
"9081","1.00","0.85","0.71","0.78","0.85"
"9101","0.95","0.82","0.83","0.83","0.82"
"9121","0.96","0.85","0.84","0.87","0.83"
"9141","0.94","0.82","0.83","0.84","0.79"
"9161","0.96","0.84","0.85","0.86","0.81"
"9181","0.99","0.89","0.86","0.89","0.85"
"9201","0.99","0.85","0.85","0.87","0.79"
"9221","0.97","0.83","0.82","0.85","0.78"
"9241","0.97","0.84","0.87","0.90","0.79"
"9261","0.97","0.84","0.87","0.90","0.80"
"9281","0.97","0.84","0.87","0.90","0.80"
"9301","0.97","0.84","0.87","0.90","0.80"
